/Reviews,,,,,,,,,,,,,
/@slot1,/@slot12,/@slot2,/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:10,,14,FOOD#PRICES,44,positive,visalternatief,58,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen."
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:10,,14,FOOD#PRICES,68,positive,lam,71,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen."
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:10,,14,FOOD#PRICES,60,positive,eend,64,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen."
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:11,,15,DRINKS#QUALITY,63,positive,wijnen,69,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:11,,15,DRINKS#STYLE_OPTIONS,3,positive,wijnkaart,12,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:12,,16,FOOD#QUALITY,0,positive,NULL,0,Het was lang geleden dat we zo lekker geëten hebben.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:13,,17,FOOD#QUALITY,0,positive,NULL,0,Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:13,,17,AMBIENCE#GENERAL,95,positive,omgeving,103,Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:1,,18,,,,,,Dit is de 3de keer dat wij hier eten.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:2,,19,RESTAURANT#GENERAL,24,positive,gelegenheid,35,Het is een fantastische gelegenheid.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:3,,20,,,,,,Bij mooi weer buiten op de binnenplaats of aan de vijver iets eten of drinken.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:4,,21,FOOD#QUALITY,57,positive,producten,66,Op het landgoed Altembrouck werkt men met verse eerlijke producten.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:5,,22,,,,,,Zo hebben ze majalica (krulhaar) varkens en wagyu runderen.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:6,,23,FOOD#STYLE_OPTIONS,11,negative,menukaart,20,Er is geen menukaart.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:7,,24,RESTAURANT#GENERAL,20,positive,3 gang menu,31,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is."
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:7,,24,RESTAURANT#PRICES,20,positive,3 gang menu,31,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is."
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:8,,25,FOOD#STYLE_OPTIONS,22,negative,menukaart,31,Nadeel is dat er geen menukaart is zelfs geen dagelijkse.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:9,,26,,,,,,Als de gastheer heeft opgenoemd wat er te eten is ben je alvorens hij of zij aan het dessert is kwijt wat het hoofdgerecht is.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:10,,27,SERVICE#GENERAL,4,positive,personeel,13,Het personeel is zeer vriendelijk en correct zonder stijf te zijn.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:11,,28,,,,,,Jammer alleen van de laatste keer dat men zowel varkens als rundvlees als hoofdgerecht noemde en onze hele tafel vond het vreemd dat niet gevraagd werd waar onze voorkeur naar uit ging.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:12,,29,,,,,,Navraag leerde dat het rund helaas al uitverkocht was.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:13,,30,SERVICE#GENERAL,0,positive,NULL,0,"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu."
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:14,,31,,,,,,Dat ging allemaal.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:15,,32,,,,,,Toch zou het een aanrader zijn om op z'n minst zoiets als een paasmenu op de website te zetten.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:16,,33,,,,,,"Nu moet je erachteraan bellen of mailen, dat is niet erg commercieel."
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:17,,34,RESTAURANT#GENERAL,0,positive,NULL,0,Voor rest niets als lof.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:18,,35,AMBIENCE#GENERAL,52,positive,ambiance,60,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:18,,35,FOOD#QUALITY,34,positive,eten,38,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:19,,36,RESTAURANT#GENERAL,0,positive,NULL,0,Ik kan dit alleen maar aanraden.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:20,,37,,,,,,Kom je hier voor een glas wijn en of een salade... ook prima.
u,u,u,Review-g1006565-d2066794_4,3,Review-g1006565-d2066794_4:21,,38,,,,,,Gewoon n keer doen en laat je verrassen.
u,u,u,Review-g1009379-d1094833_1,4,Review-g1009379-d1094833_1:1,,39,FOOD#QUALITY,46,positive,keuken,52,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,"
u,u,u,Review-g1009379-d1094833_1,4,Review-g1009379-d1094833_1:1,,39,LOCATION#GENERAL,16,positive,zaak,20,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,"
u,u,u,Review-g1009379-d1094833_1,4,Review-g1009379-d1094833_1:1,,39,SERVICE#GENERAL,85,negative,ober,89,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,"
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:1,,40,,,,,,We hadden bij ons thuis een Zwitser te gast.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:2,,41,,,,,,Hij was blij verrast met de rondleiding die hij kreeg in Halle.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:3,,42,,,,,,"Voor al met het feit dat Cardijn zijn jeugd door bracht in Halle, de mooie Sint-Martinusbasilieken."
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:4,,43,,,,,,Hij kende de muziek van Servais maar wist niet dat het van Servais hier nog stonk.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:5,,44,RESTAURANT#GENERAL,77,negative,'t groot café,90,"Het idee om deze mooi avond af te sluiten met een etentje op het terras van ""'t Groot Café"" was een echte afknapper van je welste."
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:6,,45,SERVICE#GENERAL,3,negative,ober,7,De ober was juist ontslagen dacht ik.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:7,,46,SERVICE#GENERAL,0,negative,NULL,0,Zo onvriendelijk op het boertig af.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:8,,47,SERVICE#GENERAL,0,negative,NULL,0,Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:9,,48,FOOD#QUALITY,4,negative,eten,8,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:9,,48,SERVICE#GENERAL,46,neutral,bediening,55,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.
u,u,u,Review-g1009379-d1094833_2,5,Review-g1009379-d1094833_2:10,,49,SERVICE#GENERAL,12,negative,ober,16,Zo lang die ober daar blijft werken mij niet meer gezien.
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:1,,50,,,,,,Wij kwamen met 9 personen een hapje eten.
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:2,,51,RESTAURANT#GENERAL,0,negative,NULL,0,Wat een vreselijke ervaring.
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:3,,52,SERVICE#GENERAL,3,negative,ober,7,De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:4,,53,SERVICE#GENERAL,137,negative,ober,141,"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging."
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:5,,54,SERVICE#GENERAL,0,negative,NULL,0,De andere klanten zegden luidop dat het schandalig en ongelooflijk was dat men een groep van 9 mensen zo duidelijk buiten joeg!
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:6,,55,,,,,,Ieder ander restaurant met enige waardigheid zou 9 klanten om 19.20u op zaterdagavond met open armen ontvangen!
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:7,,56,RESTAURANT#GENERAL,9,negative,zaak,13,"Als deze zaak het hoofd niet boven water kan houden, ligt het niet aan de crisis!"
u,u,u,Review-g1009379-d1094833_3,6,Review-g1009379-d1094833_3:8,,57,SERVICE#GENERAL,18,negative,personeel,27,"Eigenaar, leer uw personeel manieren."
u,u,u,Review-g1009379-d1094833_4,7,Review-g1009379-d1094833_4:1,,58,RESTAURANT#GENERAL,36,neutral,brasserie,45,We komen hier vaker eten: degelijke brasserie zonder meer.
u,u,u,Review-g1009379-d1094833_4,7,Review-g1009379-d1094833_4:2,,59,RESTAURANT#GENERAL,0,neutral,NULL,0,Alles is ok maar je krijgt nooit een echt 'wow-gevoel'.
u,u,u,Review-g1009379-d1094833_4,7,Review-g1009379-d1094833_4:3,,60,,,,,,Zaak draait duidelijk op vast (ouder) cliënteel en is hier tevreden mee.
u,u,u,Review-g1009379-d1094833_4,7,Review-g1009379-d1094833_4:4,,61,RESTAURANT#GENERAL,0,neutral,NULL,0,Kort gezegd: je zal nooit teleurgesteld zijn maar je zal eveneens nooit in de 'wolken' zijn.
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:1,,62,FOOD#QUALITY,46,neutral,tapagerechtjes,60,"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:1,,62,SERVICE#GENERAL,3,positive,gastvrouw,12,"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,136,neutral,russiisch ei,148,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,150,neutral,champignons,161,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,117,neutral,chorizo,124,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,126,neutral,manchego,134,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,108,neutral,iberico,115,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,163,neutral,tomaatjes,172,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:2,,63,FOOD#QUALITY,178,neutral,gehaktballetjes in tomatensaus,208,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek..."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:3,,64,DRINKS#QUALITY,3,positive,wijn,7,"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur....."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:3,,64,DRINKS#PRICES,3,positive,wijn,7,"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur....."
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:4,,65,FOOD#QUALITY,82,neutral,tapàs,87,Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:4,,65,RESTAURANT#GENERAL,20,positive,adresje,27,Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs
u,u,u,Review-g1081485-d4399506_1,8,Review-g1081485-d4399506_1:5,,66,SERVICE#GENERAL,0,neutral,bediening,9,Bediening vriendelijk maar gehaast....
u,u,u,Review-g1081485-d4399506_2,9,Review-g1081485-d4399506_2:1,,67,AMBIENCE#GENERAL,9,neutral,sfeer,14,Zuiderse sfeer...
u,u,u,Review-g1081485-d4399506_2,9,Review-g1081485-d4399506_2:2,,68,FOOD#QUALITY,0,positive,NULL,0,Gezellig en lekker.
u,u,u,Review-g1081485-d4399506_2,9,Review-g1081485-d4399506_2:2,,68,AMBIENCE#GENERAL,0,positive,NULL,0,Gezellig en lekker.
u,u,u,Review-g1081485-d4399506_2,9,Review-g1081485-d4399506_2:3,,69,RESTAURANT#GENERAL,9,positive,concept,16,Geweldig concept voor een geweldige avond in Spaanse decor!!
u,u,u,Review-g1081485-d4399506_2,9,Review-g1081485-d4399506_2:4,,70,RESTAURANT#GENERAL,0,positive,NULL,0,Komen zeker terug
u,u,u,Review-g1081485-d4399506_3,10,Review-g1081485-d4399506_3:1,,71,AMBIENCE#GENERAL,34,positive,ambiente,42,Prachtige wijnen en heel gezellig ambiente.
u,u,u,Review-g1081485-d4399506_3,10,Review-g1081485-d4399506_3:1,,71,DRINKS#QUALITY,10,positive,wijnen,16,Prachtige wijnen en heel gezellig ambiente.
u,u,u,Review-g1081485-d4399506_3,10,Review-g1081485-d4399506_3:2,,72,FOOD#QUALITY,12,neutral,recepten,20,Authentieke recepten (als spanje kenners kunnen we dat bevestigen) en alles huisgemaakt (dat proef je!).
u,u,u,Review-g1081485-d4399506_3,10,Review-g1081485-d4399506_3:2,,72,FOOD#QUALITY,0,positive,NULL,0,Authentieke recepten (als spanje kenners kunnen we dat bevestigen) en alles huisgemaakt (dat proef je!).
u,u,u,Review-g1081485-d4399506_3,10,Review-g1081485-d4399506_3:3,,73,RESTAURANT#GENERAL,0,positive,NULL,0,Een aanrader voor een avond uit!
u,u,u,Review-g1081485-d4399506_4,11,Review-g1081485-d4399506_4:1,,74,FOOD#QUALITY,37,positive,tapas,42,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed."
u,u,u,Review-g1081485-d4399506_4,11,Review-g1081485-d4399506_4:1,,74,DRINKS#QUALITY,27,positive,wijnen,33,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed."
u,u,u,Review-g1081485-d4399506_4,11,Review-g1081485-d4399506_4:1,,74,RESTAURANT#GENERAL,5,positive,concept,12,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed."
u,u,u,Review-g1081485-d4399506_4,11,Review-g1081485-d4399506_4:2,,75,SERVICE#GENERAL,83,negative,bediening,92,"komen steeds terug om een gezellige avond door te brengen met hapje en drankje, de bediening zou soms sneller kunnen, maar bekijk dit als een leuke en ontspannen middag of avond zonder stress"
u,u,u,Review-g1081485-d4399506_4,11,Review-g1081485-d4399506_4:2,,75,RESTAURANT#GENERAL,0,positive,NULL,0,"komen steeds terug om een gezellige avond door te brengen met hapje en drankje, de bediening zou soms sneller kunnen, maar bekijk dit als een leuke en ontspannen middag of avond zonder stress"
u,u,u,Review-g1081485-d803873_1,12,Review-g1081485-d803873_1:1,,76,,,,,,Antwerpen metropool is een fantastische stad voor gastronomen.
u,u,u,Review-g1081485-d803873_1,12,Review-g1081485-d803873_1:2,,77,RESTAURANT#GENERAL,45,positive,klein constantia,61,Ook in de periferie zijn er juweeltjes zoals Klein Constantia.
u,u,u,Review-g1081485-d803873_1,12,Review-g1081485-d803873_1:3,,78,FOOD#QUALITY,148,positive,schotels,156,"Hoewel eerder gericht op een modaal publiek dat graag een biefstuk eet, presenteert dit restaurant met de regelmaat van de klok smaakparadijzen van schotels voor gastronomen."
u,u,u,Review-g1081485-d803873_1,12,Review-g1081485-d803873_1:4,,79,,,,,,"En voor amateurs van Zuid Afrikaanse wijnen met een fruitige smaak, probeer zeker Provenance Rooi."
u,u,u,Review-g1081485-d803873_3,13,Review-g1081485-d803873_3:1,,80,RESTAURANT#GENERAL,20,positive,restaurant,30,Gewoonweg het beste restaurant in de buurt!
u,u,u,Review-g1081485-d803873_3,13,Review-g1081485-d803873_3:2,,81,FOOD#QUALITY,0,positive,NULL,0,Passie voor eten en bijpassende drank in een gezellig kader.
u,u,u,Review-g1081485-d803873_3,13,Review-g1081485-d803873_3:2,,81,AMBIENCE#GENERAL,0,positive,NULL,0,Passie voor eten en bijpassende drank in een gezellig kader.
u,u,u,Review-g1081485-d803873_3,13,Review-g1081485-d803873_3:3,,82,FOOD#QUALITY,0,positive,NULL,0,Anders dan anders maar oh zo lekker!!!!
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:1,,83,RESTAURANT#GENERAL,22,negative,kc,24,Vroegere bezoeken aan KC waren altijd een culinair hoogtepunt.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:2,,84,,,,,,Jammer genoeg kan dat van het laatste bezoek niet meer gezegd worden.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:3,,85,RESTAURANT#GENERAL,0,negative,NULL,0,De swung is er blijkbaar uit.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:4,,86,FOOD#STYLE_OPTIONS,91,negative,bord,95,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:4,,86,FOOD#STYLE_OPTIONS,33,negative,suggesties,43,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:4,,86,FOOD#STYLE_OPTIONS,3,negative,menukaart,12,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:5,,87,FOOD#STYLE_OPTIONS,12,negative,sla,15,Een simpele sla als bijgerecht is niet meteen mijn motivatie om op restaurant te gaan.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:6,,88,FOOD#STYLE_OPTIONS,0,negative,amuses,6,Amuses die vroeger een leuke entree waren zijn nu beperkt tot een pompoensoepje.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:7,,89,FOOD#STYLE_OPTIONS,29,negative,kaart,34,"Maar zelfs met deze beperkte kaart (4 hoofdgerechten, 4 voorgerechten en 2 desserts) waren er toch 2 gerechten niet beschikbaar!"
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:8,,90,SERVICE#GENERAL,0,negative,NULL,0,"Maar zeer vervelend, dit werd bij de presentatie van de menukaart vooraf niet gemeld."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:9,,91,SERVICE#GENERAL,0,negative,NULL,0,Zelfs werd dit bij het hoofdgerecht pas gemeld op het moment dat het moest geserveerd worden!
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:10,,92,SERVICE#GENERAL,0,negative,NULL,0,Hier is de kaart kies maar iets anders.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:11,,93,RESTAURANT#GENERAL,0,negative,NULL,0,"Neen, dit zijn 3 stappen achteruit tegenover vroegere bezoeken."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:12,,94,RESTAURANT#GENERAL,0,negative,NULL,0,"Als het de keuze is van de eigenaar om te gaan voor een brasserie is dat zijn keuze, maar zoals nu op 2 paarden wedden, dat lukt gewoonweg niet."
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:13,,95,RESTAURANT#GENERAL,0,negative,NULL,0,Zeer jammer.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:14,,96,FOOD#QUALITY,44,neutral,producten,53,Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.
u,u,u,Review-g1081485-d803873_4,14,Review-g1081485-d803873_4:14,,96,DRINKS#STYLE_OPTIONS,85,positive,zuid-afrikaanse wijnen,107,Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.
u,u,u,Review-g1120021-d4097420_1,15,Review-g1120021-d4097420_1:1,,97,,,,,,voor de tweede maal gaan eten.
u,u,u,Review-g1120021-d4097420_1,15,Review-g1120021-d4097420_1:2,,98,,,,,,"Vorige keer de Royal all in menu, deze keer de all in menu."
u,u,u,Review-g1120021-d4097420_1,15,Review-g1120021-d4097420_1:3,,99,RESTAURANT#GENERAL,0,positive,NULL,0,"Tip top in orde met een glaasje cava met wachtbordje, voorgerecht, hoofdgerecht en dessert of irish koffie."
