/Reviews,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
348,9,348:0,,52,LAPTOP#QUALITY,positive,"Most everything is fine with this machine: speed, capacity, build."
348,9,348:1,,53,DISPLAY#QUALITY,negative,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail."
348,9,348:2,,54,,,"Yes, I have it on the highest available setting."
347,10,347:0,,55,LAPTOP#PRICE,positive,I bought it for really cheap also and it's AMAZING.
347,10,347:0,,55,LAPTOP#GENERAL,positive,I bought it for really cheap also and it's AMAZING.
347,10,347:1,TRUE,56,,,Easy to start up and does not overheat as much as other laptops.
347,10,347:2,,57,LAPTOP#MISCELLANEOUS,positive,Recommended to people as their first laptop.
339,11,339:0,,58,LAPTOP#OPERATION_PERFORMANCE,positive,"Plain and simple, it(laptop) runs great and loads fast."
339,11,339:1,,59,LAPTOP#PORTABILITY,positive,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets."
339,11,339:1,,59,LAPTOP#CONNECTIVITY,positive,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets."
339,11,339:2,TRUE,60,,,Love that it doesn't take up space like a regular computer.
273,12,273:0,,61,LAPTOP#DESIGN_FEATURES,positive,I'm already hooked on the sleek look and dependability that this laptop has shown.
273,12,273:0,,61,LAPTOP#QUALITY,positive,I'm already hooked on the sleek look and dependability that this laptop has shown.
273,12,273:1,,62,OS#USABILITY,neutral,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around."
273,12,273:2,,63,LAPTOP#DESIGN_FEATURES,positive,The unibody design is edgy and durable.
273,12,273:2,,63,LAPTOP#QUALITY,positive,The unibody design is edgy and durable.
273,12,273:3,,64,DISPLAY#DESIGN_FEATURES,positive,The LED backlit display makes my pictures pop so much more.
273,12,273:4,,65,MOUSE#DESIGN_FEATURES,positive,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.
273,12,273:4,,65,LAPTOP#USABILITY,positive,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.
273,12,273:5,TRUE,66,,,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker."
273,12,273:6,,67,LAPTOP#DESIGN_FEATURES,positive,A key contributor that led me to Mac is the art aspect.
273,12,273:7,,68,SOFTWARE#MISCELLANEOUS,positive,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.
273,12,273:8,,69,LAPTOP#GENERAL,positive,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
273,12,273:8,,69,LAPTOP#OPERATION_PERFORMANCE,positive,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
273,12,273:9,,70,LAPTOP#PRICE,negative,It's more expensive but well worth it in the long run.
273,12,273:9,,70,LAPTOP#GENERAL,positive,It's more expensive but well worth it in the long run.
240,13,240:0,,71,LAPTOP#GENERAL,positive,"Great product, very easy to use and great graphics."
240,13,240:0,,71,LAPTOP#USABILITY,positive,"Great product, very easy to use and great graphics."
240,13,240:0,,71,GRAPHICS#GENERAL,positive,"Great product, very easy to use and great graphics."
240,13,240:1,,72,KEYBOARD#DESIGN_FEATURES,negative,"One drawback, I wish the keys were backlit."
240,13,240:2,,73,LAPTOP#GENERAL,positive,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars."
240,13,240:2,,73,LAPTOP#PRICE,neutral,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars."
243,14,243:0,,74,LAPTOP#DESIGN_FEATURES,positive,It had most of the features and all of the power that I wanted to replace my desktop machine.
243,14,243:0,,74,LAPTOP#OPERATION_PERFORMANCE,positive,It had most of the features and all of the power that I wanted to replace my desktop machine.
243,14,243:1,,75,LAPTOP#DESIGN_FEATURES,neutral,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
243,14,243:1,,75,LAPTOP#PORTABILITY,positive,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
243,14,243:2,,76,LAPTOP#GENERAL,positive,I'm very happy with this machine!
285,15,285:0,,77,LAPTOP#DESIGN_FEATURES,positive,"I love the size, keyboard, the functions."
285,15,285:0,,77,KEYBOARD#GENERAL,positive,"I love the size, keyboard, the functions."
285,15,285:0,,77,LAPTOP#OPERATION_PERFORMANCE,positive,"I love the size, keyboard, the functions."
285,15,285:1,,78,LAPTOP#GENERAL,positive,I don't really have a complaint.
285,15,285:2,,79,LAPTOP#USABILITY,positive,"It is easy to use, good quality and good price."
285,15,285:2,,79,LAPTOP#QUALITY,positive,"It is easy to use, good quality and good price."
285,15,285:2,,79,LAPTOP#PRICE,positive,"It is easy to use, good quality and good price."
285,15,285:3,,80,LAPTOP#GENERAL,positive,Perfect trifecta!
285,15,285:4,,81,LAPTOP#GENERAL,positive,I would recommend this product.
212,16,212:0,,82,SOFTWARE#GENERAL,negative,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.
212,16,212:0,,82,LAPTOP#GENERAL,negative,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.
93,17,93:0,,83,SUPPORT#QUALITY,neutral,This is my first Dell I heard their customer service was lacking and that they were working on improving it!
93,17,93:1,,84,,,I purchased this laptop 9 months ago!
93,17,93:2,,85,OPTICAL_DRIVES#QUALITY,negative,The DVD burner broke after burning 3 DVD'd during that time!
93,17,93:3,,86,SUPPORT#QUALITY,negative,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.
93,17,93:4,,87,,,I am currently out of town and called to inform them the broken part would be returned when I got back in town.
93,17,93:5,,88,SUPPORT#QUALITY,negative,If this is an improvement in Customer Service then I would hate too see what it was before!
93,17,93:6,,89,SUPPORT#QUALITY,negative,I spoke to 4 different people and was told they needed to transfer me to a 5th person!
93,17,93:7,,90,SUPPORT#QUALITY,negative,Needless to say I told them No and have a nice day and hung up!
93,17,93:8,,91,LAPTOP#GENERAL,negative,I can guarantee this will be the last Dell I will ever purchase!
93,17,93:8,,91,COMPANY#GENERAL,negative,I can guarantee this will be the last Dell I will ever purchase!
93,17,93:9,,92,LAPTOP#QUALITY,negative,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!
93,17,93:9,,92,SUPPORT#QUALITY,negative,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!
93,17,93:10,,93,COMPANY#GENERAL,negative,I do not recommend this company or their products!!!!
252,18,252:0,,94,LAPTOP#GENERAL,positive,"So far, a great product."
252,18,252:1,,95,LAPTOP#PRICE,negative,"High price tag, however."
252,18,252:2,,96,LAPTOP#USABILITY,neutral,Still trying to learn how to use it.
19,19,19:0,,97,LAPTOP#GENERAL,negative,it is the worst computer dell ever made.
19,19,19:1,,98,LAPTOP#QUALITY,negative,it is hard to fix and makes it a hassle to own one.
19,19,19:1,,98,LAPTOP#GENERAL,negative,it is hard to fix and makes it a hassle to own one.
19,19,19:2,,99,LAPTOP#QUALITY,negative,breaks easily.
19,19,19:3,,100,GRAPHICS#QUALITY,positive,only good thing is the graphics quality.
165,20,165:0,,101,LAPTOP#DESIGN_FEATURES,positive,There are so many wonderful features and benefits to the new MacBook!
165,20,165:0,,101,LAPTOP#GENERAL,positive,There are so many wonderful features and benefits to the new MacBook!
165,20,165:1,,102,,,The #1 reason that is always repeated.
165,20,165:2,,103,LAPTOP#QUALITY,positive,No Viruses!
165,20,165:3,,104,LAPTOP#OPERATION_PERFORMANCE,positive,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.
165,20,165:3,,104,LAPTOP#USABILITY,positive,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.
165,20,165:4,,105,COMPANY#GENERAL,positive,I am loyal to Apple.
165,20,165:5,TRUE,106,,,The Macbooks worth every penny.
165,20,165:6,TRUE,107,,,"They're easy, fun, powerful and will last a long time."
165,20,165:7,TRUE,108,,,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy."
165,20,165:8,,109,LAPTOP#GENERAL,positive,I am very Happy!
111,21,111:0,,110,HARD_DISC#QUALITY,negative,This just keeps having it's hard drive replaced!
111,21,111:1,,111,SUPPORT#QUALITY,negative,Acer won't replace the laptop.
111,21,111:2,,112,WARRANTY#GENERAL,negative,the manufacturer's warranty only covers replacement/repair of parts.
111,21,111:3,,113,LAPTOP#QUALITY,negative,This thing is a lemon.
292,22,292:0,,114,LAPTOP#GENERAL,positive,This MacBook is an outstanding product with great value.
292,22,292:1,,115,LAPTOP#USABILITY,positive,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
292,22,292:1,,115,SUPPORT#QUALITY,positive,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
292,22,292:2,,116,BATTERY#OPERATION_PERFORMANCE,positive,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed."
292,22,292:2,,116,LAPTOP#OPERATION_PERFORMANCE,positive,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed."
292,22,292:3,,117,LAPTOP#QUALITY,neutral,It does run a little warm but that is a negligible concern.
359,23,359:0,,118,,,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!
359,23,359:1,,119,,,I have owned it only two months!
359,23,359:2,,120,LAPTOP#GENERAL,negative,I have had nothing but problems since the day I took it out of the box!
359,23,359:2,,120,LAPTOP#QUALITY,negative,I have had nothing but problems since the day I took it out of the box!
359,23,359:3,,121,SOFTWARE#GENERAL,negative,My first problem was with the pre-loaded Norton Firewall/Security program.
359,23,359:4,,122,LAPTOP#CONNECTIVITY,negative,It would not let me connect to my Wifi system where I lived.
359,23,359:5,,123,SUPPORT#QUALITY,negative,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
359,23,359:6,,124,MOUSE#QUALITY,negative,"Then just the other day, my left ""mouse"" button snapped!"
359,23,359:7,,125,LAPTOP#QUALITY,negative,"Being only 2 months old, I am not a happy camper!"
359,23,359:8,,126,LAPTOP#GENERAL,negative,Buyer Beware.
359,23,359:9,,127,LAPTOP#QUALITY,negative,"this one, in my opinion, might be a lemon!"
95,24,95:0,,128,LAPTOP#QUALITY,negative,It rarely works and when it does it's incredibly slow.
95,24,95:0,,128,LAPTOP#OPERATION_PERFORMANCE,negative,It rarely works and when it does it's incredibly slow.
95,24,95:1,,129,LAPTOP#QUALITY,negative,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!
95,24,95:2,,130,LAPTOP#GENERAL,negative,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!"
360,25,360:0,,131,LAPTOP#PRICE,positive,Like the price and operation.
360,25,360:0,,131,LAPTOP#OPERATION_PERFORMANCE,positive,Like the price and operation.
360,25,360:1,,132,LAPTOP#USABILITY,negative,"Some features arent friendly ( volume wheel, sound quality, etc."
360,25,360:1,,132,MULTIMEDIA_DEVICES#USABILITY,negative,"Some features arent friendly ( volume wheel, sound quality, etc."
360,25,360:1,,132,MULTIMEDIA_DEVICES#QUALITY,negative,"Some features arent friendly ( volume wheel, sound quality, etc."
360,25,360:2,,133,LAPTOP#GENERAL,positive,"But, for the cost this is a winner."
360,25,360:2,,133,LAPTOP#PRICE,neutral,"But, for the cost this is a winner."
66,26,66:0,,134,LAPTOP#GENERAL,positive,I absolutely love my mac!
66,26,66:1,,135,LAPTOP#GENERAL,positive,I can't imagine my life without it anymore!
66,26,66:2,TRUE,136,,,It's perfect for everything and runs faster than an average pc!
384,27,384:0,,137,LAPTOP#GENERAL,positive,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
384,27,384:0,,137,PORTS#QUALITY,negative,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
384,27,384:1,,138,PORTS#QUALITY,negative,Apparently they are defective since they are not securely attached.
384,27,384:2,,139,LAPTOP#CONNECTIVITY,negative,I can barely use any usb devices because they will not stay connected properly.
384,27,384:3,,140,SUPPORT#QUALITY,negative,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.
384,27,384:4,,141,SUPPORT#QUALITY,negative,I think I might rather suffer for something that is simple to fix in my opinion.
54,28,54:0,,142,LAPTOP#GENERAL,negative,I bought this laptop Was the worst Laptop I've ever bought.
54,28,54:1,,143,LAPTOP#PRICE,negative,I spent alot of money on this product and its been a nightmare.
54,28,54:1,,143,LAPTOP#GENERAL,negative,I spent alot of money on this product and its been a nightmare.
54,28,54:2,,144,SUPPORT#QUALITY,negative,And having to deal with the company has been a even worse nightmare.
54,28,54:3,,145,,,I sent it to them to fix in perfect condition but for what was wrong with it.
54,28,54:4,,146,SUPPORT#QUALITY,negative,They sent it back with a huge crack in it and it still didn't work.
54,28,54:5,,147,SUPPORT#QUALITY,negative,And that was the fourth time ive sent it to them to get fixed.
54,28,54:6,,148,SUPPORT#QUALITY,negative,Its been a year and am still waiting to see what there going to do about my laptop.
54,28,54:7,,149,COMPANY#GENERAL,negative,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...
176,29,176:0,,150,LAPTOP#GENERAL,positive,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.
176,29,176:1,,151,DISPLAY#GENERAL,positive,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent."
176,29,176:1,,151,BATTERY#OPERATION_PERFORMANCE,positive,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent."
176,29,176:2,,152,LAPTOP#PRICE,negative,"A little pricey but it is well, well worth it."
176,29,176:2,,152,LAPTOP#GENERAL,positive,"A little pricey but it is well, well worth it."
176,29,176:3,TRUE,153,,,I've been a PC user and I just finally switched and I am never going back.
176,29,176:4,,154,LAPTOP#GENERAL,positive,It is amazing.
59,30,59:0,,155,HARD_DISC#QUALITY,negative,In the first moth of owning this computer its hardrive failed which had to be replaced.
59,30,59:1,,156,BATTERY#QUALITY,negative,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
59,30,59:1,,156,BATTERY#OPERATION_PERFORMANCE,negative,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
59,30,59:2,,157,POWER_SUPPLY#QUALITY,negative,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
59,30,59:2,,157,POWER_SUPPLY#OPERATION_PERFORMANCE,negative,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
59,30,59:2,,157,HARDWARE#QUALITY,negative,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
59,30,59:3,,158,LAPTOP#GENERAL,negative,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.
59,30,59:3,,158,LAPTOP#QUALITY,negative,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.
170,31,170:0,,159,BATTERY#OPERATION_PERFORMANCE,positive,Has a 5-6 hour battery life.
170,31,170:1,TRUE,160,,,Much faster than my old windows laptop that died on me.
170,31,170:2,,161,LAPTOP#USABILITY,positive,It is easy to use and lightweight.
170,31,170:2,,161,LAPTOP#DESIGN_FEATURES,positive,It is easy to use and lightweight.
170,31,170:3,,162,LAPTOP#GENERAL,positive,Was very much worth the price i paid.
170,31,170:3,,162,LAPTOP#PRICE,positive,Was very much worth the price i paid.
90,32,90:0,,163,LAPTOP#QUALITY,negative,This netbook went bad on me after 3 days.
90,32,90:1,,164,DISPLAY#OPERATION_PERFORMANCE,negative,There is a blank lighted screen when I start and that is all.
90,32,90:2,TRUE,165,,,I am also upset with CR for giving a good rating.
220,33,220:0,TRUE,166,,,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.
220,33,220:1,,167,DISPLAY#QUALITY,negative,"Three weeks after I bought the netbook, the screen quit working."
220,33,220:1,,167,DISPLAY#OPERATION_PERFORMANCE,negative,"Three weeks after I bought the netbook, the screen quit working."
220,33,220:2,,168,DISPLAY#QUALITY,negative,I baby my electronics so I know for a fact it was defective and not anything that I did to it.
220,33,220:3,,169,LAPTOP#QUALITY,negative,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work."
220,33,220:3,,169,LAPTOP#OPERATION_PERFORMANCE,negative,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work."
220,33,220:3,,169,BATTERY#OPERATION_PERFORMANCE,positive,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work."
278,34,278:0,,170,LAPTOP#PORTABILITY,positive,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
278,34,278:0,,170,LAPTOP#DESIGN_FEATURES,positive,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
278,34,278:0,,170,LAPTOP#GENERAL,positive,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
278,34,278:1,TRUE,171,,,To my mind much more usable than the toy called an IPad.
135,35,135:0,,172,LAPTOP#OPERATION_PERFORMANCE,negative,The So called laptop Runs to Slow and I hate it!
135,35,135:0,,172,LAPTOP#GENERAL,negative,The So called laptop Runs to Slow and I hate it!
135,35,135:1,,173,LAPTOP#GENERAL,negative,Do not  buy it!
135,35,135:2,,174,LAPTOP#GENERAL,negative,It is the worst laptop ever
159,36,159:0,,175,DISPLAY#QUALITY,positive,"The image is great, and the soud is excelent."
159,36,159:0,,175,MULTIMEDIA_DEVICES#QUALITY,positive,"The image is great, and the soud is excelent."
159,36,159:1,,176,LAPTOP#GENERAL,positive,i love ths notebook.
57,37,57:0,,177,MOUSE#DESIGN_FEATURES,positive,I love the glass touchpad.
57,37,57:1,,178,LAPTOP#USABILITY,positive,Easy learning curve.
57,37,57:2,,179,DISPLAY#GENERAL,positive,Also the display is exceptional!
76,38,76:0,,180,LAPTOP#GENERAL,positive,I have loved this since i took it out of the box.
76,38,76:1,,181,BATTERY#OPERATION_PERFORMANCE,positive,The battery is really long.
76,38,76:2,,182,LAPTOP#DESIGN_FEATURES,positive,"the features are great, the only thing it needs is better speakers."
76,38,76:2,,182,MULTIMEDIA_DEVICES#GENERAL,negative,"the features are great, the only thing it needs is better speakers."
28,39,28:0,,183,LAPTOP#DESIGN_FEATURES,positive,Small and light weight.
28,39,28:1,,184,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,Speakers too small to be of any real use.
28,39,28:1,,184,MULTIMEDIA_DEVICES#USABILITY,negative,Speakers too small to be of any real use.
28,39,28:2,,185,KEYBOARD#DESIGN_FEATURES,positive,Keyboard good sized and wasy to use.
28,39,28:2,,185,KEYBOARD#USABILITY,positive,Keyboard good sized and wasy to use.
28,39,28:3,,186,LAPTOP#GENERAL,positive,I like it!
267,40,267:0,,187,LAPTOP#GENERAL,positive,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.
267,40,267:0,,187,LAPTOP#DESIGN_FEATURES,positive,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.
267,40,267:0,,187,LAPTOP#PORTABILITY,positive,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.
132,41,132:0,,188,LAPTOP#GENERAL,negative,"Needless to say, not to happy with the product."
167,42,167:0,,189,LAPTOP#GENERAL,positive,This is a great machine!
167,42,167:1,,190,LAPTOP#DESIGN_FEATURES,positive,"The design is awesome, quality is unprecedented."
167,42,167:1,,190,LAPTOP#QUALITY,positive,"The design is awesome, quality is unprecedented."
169,43,169:0,,191,LAPTOP#QUALITY,positive,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
169,43,169:0,,191,LAPTOP#DESIGN_FEATURES,positive,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
169,43,169:0,,191,LAPTOP#PRICE,positive,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
169,43,169:0,,191,LAPTOP#OPERATION_PERFORMANCE,positive,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
