/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
13835,7,,,13835:0,"Отмечали в ресторане ""Драго"" свадьбу на 30 человек 1го июля 2010 года."
13835,7,,,13835:1,"Ресторан выбрали случайно, больше по местоположению, но не пожалели."
13835,7,,,13835:2,"Ресторан небольшой, но для нашего торжества места было достаточно, веранда тоже была в нашем распоряжении."
13835,7,,,13835:3,"Интерьер приятный, светлый и чувствуешь себя в нем комфортно."
13835,7,,,13835:4,"Кухня хорошая: вкусные мясные блюда, закуска с нежнейшим салом покорила мужчин, изумительные салаты."
13835,7,,,13835:5,Гостям понравилось домашнее вино.
13835,7,,,13835:6,Первые блюда в ресторане отличные (суп с копченым лососем и икрой попробовали при следующем посещении).
13835,7,,,13835:7,Коллектив ресторана достоин отдельного упоминания.
13835,7,,,13835:8,Официантки вежливы и предупредительны.
13835,7,,,13835:9,"Администратор Светлана помогла нам при составлении банкетного меню и позаботилась об украшнии зала, отняслась к нам с большим вниманием."
13835,7,,,13835:10,"В общем, ресторан ""Драго"" оставляет самое положительное впечатление и после проведения тожества и после семейного ужина."
6668,8,SERVICE#GENERAL,conflict,,
6668,8,DRINKS#QUALITY,positive,,
6668,8,RESTAURANT#GENERAL,positive,,
6668,8,FOOD#QUALITY,positive,,
6668,8,FOOD#STYLE_OPTIONS,neutral,,
6668,8,DRINKS#PRICES,positive,,
6668,8,LOCATION#GENERAL,positive,,
6668,8,,,6668:0,"Мы посетили этот замечательный ресторанчик поздним вечером, ближе к полуночи, когда уже нигде не кормили по-настоящему."
6668,8,,,6668:1,"Несмотря на плохую погоду, мы пытались показать приехавшим в гости родственникам (молодоженам) все красоты нашего города, включая белые ночи."
6668,8,,,6668:2,"""Квартиру №55"" выбрали из-за расположения и графика работы, ну и отзывы неплохие."
6668,8,,,6668:3,"Часто проезжали мимо, и вот выдался повод зайти."
6668,8,,,6668:4,Накормили и напоили нас в эту холодную ночь замечательно вкусно.
6668,8,,,6668:5,"Не хочется употреблять слова сервис, обслуживание, т.к. нас не ""обслуживали"", а радушно встречали, очень по-домашнему."
6668,8,,,6668:6,"Помогли с заказом, посоветовали хорошее и недорогое вино."
6668,8,,,6668:7,"Правда, заказ принесли не быстро, хотя кроме нас в ресторане было занято всего 2 столика и там уже люди давно сидели, пили чай."
6668,8,,,6668:8,"Салаты готовили минут 20, потом еще ждали горячее."
6668,8,,,6668:9,Мы скоротали время за бутылочкой вина.
6668,8,,,6668:10,Гостям очень понравились пожарские котлеты и тушеная телятина.
6668,8,,,6668:11,Я брала буженину на гриле - это восторг!
6668,8,,,6668:12,"Салаты были сытные и довольно вкусные, но как-то не запомнились."
6668,8,,,6668:13,"Порции не огромные, но и не маленькие, мы наелись и не решились еще взять по десерту, хотя официант очень советовал и хвалил их десерты."
6668,8,,,6668:14,"Так что, у нас есть повод придти в квартиру еще раз!"
6668,8,,,6668:15,"Хочу сказать большое спасибо ""ночному персоналу"" ресторана, который сделал наш поздний ужин таким приятным!"
12814,9,SERVICE#GENERAL,negative,,
12814,9,FOOD#QUALITY,positive,,
12814,9,RESTAURANT#GENERAL,conflict,,
12814,9,FOOD#STYLE_OPTIONS,negative,,
12814,9,,,12814:0,Сегодня побывал в данном заведении.
12814,9,,,12814:1,"Кухня была нормальная, я бы даже сказал, что вкусно было все приготовлено."
12814,9,,,12814:2,Но есть одно НО...
12814,9,,,12814:3,"При том что ресторан был практически пуст заказ, я ждал больше сорока минут плюс ко всему, про один десерт официантка совсем забыла и несла его еще минут 20."
12814,9,,,12814:4,"И что больше всего удивили и не понравилось, то что в меню в составе десерта было написаны одни ингридиенты, а реальном блюде часть инегридиентов я так и не нашел!"
12814,9,,,12814:5,"Так что если кто собиреться там пообедать или поужинать, то учтите, что заказ вы можете ждать Очень долго!"
35501,10,AMBIENCE#GENERAL,positive,,
35501,10,SERVICE#GENERAL,positive,,
35501,10,DRINKS#QUALITY,positive,,
35501,10,FOOD#QUALITY,positive,,
35501,10,RESTAURANT#GENERAL,positive,,
35501,10,FOOD#STYLE_OPTIONS,negative,,
35501,10,,,35501:0,Заходили недавно в «Прагу» со своим молодым человеком.
35501,10,,,35501:1,Приятно были удивлены смене интерьера.
35501,10,,,35501:2,Стало очень уютно и комфортно.
35501,10,,,35501:3,Деревянные столы и стулья прекрасно вписались в атмосферу этого заведения.
35501,10,,,35501:4,Обслуживание тоже понравилось.
35501,10,,,35501:5,Официантки вежливые и приветливые.
35501,10,,,35501:6,Что касается кухни….
35501,10,,,35501:7,"Мы выбрали блюда, но их не оказалось в наличии."
35501,10,,,35501:8,"Нам объяснили, что это вызвано сменой меню, т.к поменялся шеф-повар, и что новое меню у них в печати, и поэтому некоторые блюда отсутствовали."
35501,10,,,35501:9,"Порекомендовали заказать новый салат «От Шефа» с куриной грудкой и апельсинами – понравился, очень вкусный."
35501,10,,,35501:10,"Еще попробовали их фирменную рульку, которая (как написано в меню) приготовлена по чешскому рецепту – ОЧЕНЬ ВКУСНО!!!"
35501,10,,,35501:11,"К сожалению, никогда не были в Праге, но захотелось сравнить с настоящей."
35501,10,,,35501:12,Пиво.
35501,10,,,35501:13,"Очень удобным оказалось то, что можно заказать сразу трехлитровую башню, можно самим наливать себе пиво в бокал, пили Пилзнер – вкус довольно неплохой, но для меня горьковато, наверно сорт такой."
35501,10,,,35501:14,"Попробовала другое пиво, выбрала вишневое, мне очень понравился его необычный вкус, всем девушкам советую."
35501,10,,,35501:15,"В общем, вечером остались довольные, но хотелось бы попробовать и блюда уже из нового меню."
11793,11,SERVICE#GENERAL,positive,,
11793,11,AMBIENCE#GENERAL,conflict,,
11793,11,FOOD#QUALITY,positive,,
11793,11,RESTAURANT#GENERAL,positive,,
11793,11,,,11793:0,Являемся постоянными посетителями данного заведения более года.
11793,11,,,11793:1,"Главное, что хотелось бы отметить - постоянно высокое качество кухни."
11793,11,,,11793:2,"Это одно из немногих мест, где хочется попробовать все и сразу."
11793,11,,,11793:3,Обязательно рекомендуем попробовать суши и роллы.
11793,11,,,11793:4,"Она обалденны, готовят их быстро, всегда свежие и очень вкусные!"
11793,11,,,11793:5,"Удивительная особенность для сети ресторанов то, что и в других ресторанах (Комендантский, Петроградская) уровень сервиса и кухни остается на том же уровне."
11793,11,,,11793:6,"Особенно это хорошо видно, если Вы являетесь постоянным посетителем Палок или Евразии =))"
11793,11,,,11793:7,"Единственное, что хочется отметить из негативного - в зале для некурящих бывает холодно, когда открывается входная дверь, но это мелочи."
11793,11,,,11793:8,Если Вы идете туда в первый раз - обязательно попробуйте мороженое в кляре - лучшее в городе.
11793,11,,,11793:9,А вот горячее раз на раз не приходится.
11793,11,,,11793:10,Бывает приносят и холодным..
11793,11,,,11793:11,"Обслуживание хорошее, но иногда приносят все сразу: и суши и суп и десерт."
11793,11,,,11793:12,"Надеюсь, качество обслуживания и кухни будет столь же высоким, все-таки любимый ресторан!"
15363,12,FOOD#PRICES,positive,,
15363,12,SERVICE#GENERAL,positive,,
15363,12,AMBIENCE#GENERAL,positive,,
15363,12,FOOD#QUALITY,conflict,,
15363,12,RESTAURANT#GENERAL,positive,,
15363,12,,,15363:0,"Подруги посоветовали ""Город"", вот и решила, проезжая мимо, там пообедать."
15363,12,,,15363:1,"Заведение светлое, стильное."
15363,12,,,15363:2,"Единственный минус это то, что столики (справа от входа) поставлены очень близко друг к другу, и если бы рядом со мной столик был занят, мне было бы уже не так комфортно."
15363,12,,,15363:3,Меня сразу заметили на входе и проводили за столик.
15363,12,,,15363:4,К обслуживанию нареканий никаких: обслужили быстро и с улыбкой!
15363,12,,,15363:5,"Я заказала борщ, пасту, домашние профитроли с горячим шоколадом и чай."
15363,12,,,15363:6,Пожалела я о заказе моего любимого борща! здесь он не вкусный: бульон с капустой... с большим количеством капусты! попробовала добавить побольше сметаны ))) но не помогло... к сожалению.
15363,12,,,15363:7,Паста - карбонара была достойной!!!
15363,12,,,15363:8,А от десерта я просто в восторге!!! смела его за несколько минут ))) и это после борща с пастой!!!
15363,12,,,15363:9,"Общие впечатления положительные, даже не смотря на борщ )))"
15363,12,,,15363:10,Приятной оказалась скидка 15 % в обеденное время.
15363,12,,,15363:11,"Судя по отзывам ""Город"" днем и вечером - два разных заведения."
15363,12,,,15363:12,"Планирую заехать как-нибудь вечерком, с мужем."
28745,13,SERVICE#GENERAL,positive,,
28745,13,AMBIENCE#GENERAL,positive,,
28745,13,FOOD#QUALITY,positive,,
28745,13,RESTAURANT#GENERAL,positive,,
28745,13,,,28745:0,"На день рождения моей девушки, мы решили сходить в ресторан."
28745,13,,,28745:1,"Я выбрал ""Мидзуки"" основываясь на отзывах с этого сайта, и не ошибся - очень уютное место, вкусная еда (заказывали роллы и рис с курицей), музыка ненавязчивая и тихая."
28745,13,,,28745:2,"Сервис - хороший, - официантки, заметив что на них смотришь, - не делают вид, что не заметили, а подходят:)"
28745,13,,,28745:3,"Ждать заказа пришлось не больше, чем ожидаешь от ресторана - тарелки появились ровно в тот момент, когда мне в первый раз пришло в голову, что пора бы уже всё-таки принести))"
28745,13,,,28745:4,"В общем, вечер провели замечательно, теперь буду водить туда друзей."
35863,14,SERVICE#GENERAL,positive,,
35863,14,AMBIENCE#GENERAL,conflict,,
35863,14,FOOD#QUALITY,positive,,
35863,14,RESTAURANT#GENERAL,positive,,
35863,14,,,35863:0,"Не так давно были в Жан-Жаке с подругой, вот решила поделиться впечатлениями.."
35863,14,,,35863:1,"Обычно ходили на Невский 166, а в это раз решили сходить на Марата для сравнения."
35863,14,,,35863:2,"Это был вечер пятницы, стол забронировали заранее."
35863,14,,,35863:3,"При входе нас не встретили, но пройдя чуть дальше, ближе к барной стойке мы увидели администратора, который видимо и принимал нашу бронь, нас проводили к столу и предложили напитки."
35863,14,,,35863:4,Обслуживал нас молодой человек.
35863,14,,,35863:5,"Заказ принял практически сразу, даже удалось вступить с ним в диалог, посоветовал и рыбку, и винишко."
35863,14,,,35863:6,"По поводу обслуживания что могу сказать - назойливости официанта мы не почувствовали, но и вниманием были не обделены."
35863,14,,,35863:7,"По жестам или взглядам он понимал, что мы нуждаемся в его помощи и моментально реагировал."
35863,14,,,35863:8,Кухня..
35863,14,,,35863:9,Кухня!
35863,14,,,35863:10,"Мне всегда нравилось, как готовят здесь."
35863,14,,,35863:11,"Рыбка была сочной, овощи на гриле и хлебная корзина - просто восхищение!!"
35863,14,,,35863:12,"Корзину заказываем всегда одну, а потом еще несколько раз по одной!"
35863,14,,,35863:13,Невозможно от нее отказаться!
35863,14,,,35863:14,"Что касается интерьера все хорошо, но только один минус для меня."
35863,14,,,35863:15,"Слишком тесно, столы расположены близко друг к другу, волей не волей слышишь соседние разговоры и не только.."
35863,14,,,35863:16,"Подводя итог, могу сказать, что визитом остались довольны!"
35863,14,,,35863:17,Ждите нас снова!
30744,15,AMBIENCE#GENERAL,positive,,
30744,15,SERVICE#GENERAL,conflict,,
30744,15,DRINKS#QUALITY,positive,,
30744,15,RESTAURANT#GENERAL,positive,,
30744,15,FOOD#QUALITY,positive,,
30744,15,DRINKS#STYLE_OPTIONS,negative,,
30744,15,,,30744:0,Были с мужем в выходные.
30744,15,,,30744:1,"Очень много народу, но столиком проблем не было - заказывали заранее."
30744,15,,,30744:2,А вот заказ приносили достаточно долго - но на улице с пивом никуда не спешишь :)
30744,15,,,30744:3,"Гриль нам понравился, пиво тоже."
30744,15,,,30744:4,"Маленький выбор вина, нет классичсеских сортов пива."
30744,15,,,30744:5,Это минусы.
30744,15,,,30744:6,"Но в общем, впечатление хорошее."
30744,15,,,30744:7,"От сервиса, от кухни и от атмосферы."
30744,15,,,30744:8,"Вокруг люди улыбчивые, всем весело, музыка приятная."
30744,15,,,30744:9,Мы еще вернемся!
2073,16,RESTAURANT#GENERAL,negative,,
2073,16,AMBIENCE#GENERAL,conflict,,
2073,16,FOOD#QUALITY,neutral,,
2073,16,SERVICE#GENERAL,negative,,
2073,16,,,2073:0,"Три дня назад отмечали в этом ""ресторане"" день рождения."
2073,16,,,2073:1,"Сегодня решила почитать отзывы по этому заведению, так как вечер был просто испорчен."
2073,16,,,2073:2,"Складывается такое впечатление, что мы были где-то в другом месте."
2073,16,,,2073:3,"Да, неплохой интерьер, неплохая кухня... но все остальное просто ужас."
2073,16,,,2073:4,Во-первых такого отвратительного обслуживания я не видела нигде.
2073,16,,,2073:5,"На весь ресторан работала одна официантка, что само по себе странно."
2073,16,,,2073:6,"Если бы она просто не справлялась с обилием заказов, то еще как то извинительно, но она не очень то и старалась."
2073,16,,,2073:7,"Например вино нам несли 20 мин., курить мы выходили на улицу, где для этого стоят кресла и столик, попросили ее принести пепельницу... она пообещала, но до конца нашего застолья так этого и не сделала."
2073,16,,,2073:8,"На закуску мы среди прочего заказывали оливки, так их нам принесли почти в конце вечера, про один заказ она вообще забыла, на что просто извинилась."
2073,16,,,2073:9,Отдельная история - живая музыка.
2073,16,,,2073:10,"Хороший певец, с хорошим голосом... но для такого маленького помещения - это просто тихий ужас."
2073,16,,,2073:11,"Разговаривать было невозможно не только с другим концом стола, но и соседей справа-слева приходилось переспрашивать."
2073,16,,,2073:12,"Соглашусь, на вкус и цвет товарищей нет, но я в этот ресторан больше ни ногой и всех своих друзей обязательно предупрежу"
10778,17,SERVICE#GENERAL,positive,,
10778,17,RESTAURANT#PRICES,positive,,
10778,17,AMBIENCE#GENERAL,positive,,
10778,17,FOOD#QUALITY,positive,,
10778,17,RESTAURANT#GENERAL,positive,,
10778,17,,,10778:0,"Для меня ответ на вопрос ""Стоит ли идти в этот ресторан?"" -однозначный."
10778,17,,,10778:1,"Да,конечно,стоит!"
10778,17,,,10778:2,Много причин для этого: Одна из главных причин - хорошая кухня.
10778,17,,,10778:3,"Затем-Внимательный персонал,адекватные цены,уютный и красивый интерьер, центр города."
10778,17,,,10778:4,"Мне нравиться место,где расположен ресторан. (Напротив Малого драматического театра.)"
10778,17,,,10778:5,"Публика, которая приходит ,мне тоже нравиться ."
10778,17,,,10778:6,"Хорошая энергетика в этом ресторане,которую создают внимательные и профессиональные люди."
10778,17,,,10778:7,"Жаль,что многие не знают этот замечательный ресторан."
10778,17,,,10778:8,"Здесь чувствуешь себя очень хорошо в любое время и в любом зале,будь то большой праздник (например банкет)) или если случайно зайдёшь выпить чашку кофе."
10778,17,,,10778:9,"Тебе здесь рады всегда, атмосфера домашняя в этом ресторане."
10778,17,,,10778:10,Таких хороших и уютных мест в Питере не так много.
10778,17,,,10778:11,"Я думаю, что гость,который посетит этот ресторан станет его постоянным гостем."
10778,17,,,10778:12,"Я желаю ресторану ""Рубинштайн"" процветания и успехов!"
10778,17,,,10778:13,С уважением Ирина
1563,18,AMBIENCE#GENERAL,positive,,
1563,18,SERVICE#GENERAL,positive,,
1563,18,DRINKS#QUALITY,positive,,
1563,18,FOOD#QUALITY,conflict,,
1563,18,RESTAURANT#GENERAL,conflict,,
1563,18,FOOD#STYLE_OPTIONS,conflict,,
1563,18,DRINKS#STYLE_OPTIONS,positive,,
1563,18,,,1563:0,С подругами в пятницу вечером решили зайти в Паб № 1.
1563,18,,,1563:1,"Много о нем слышала, но ни разу не была , а тут случай подвернулся… Мы заняли столик, официант подошел буквально через пару минут."
1563,18,,,1563:2,"Что касается меню, то в пабе достаточно большая пивная карта."
1563,18,,,1563:3,При этом мне показалось не совсем уместным существование суши-меню в пабе.
1563,18,,,1563:4,"Надоели заведения, которые смешивают все форматы подряд."
1563,18,,,1563:5,"Если уж паб, то пусть бы он оставался пабом… Но на свой страх и риск, я не удержалась от соблазна и заказала мои любимые суши, хотя много раз зарекалась… Если особо не придираться, то суши, в общем то были обычными, но.. как то чуть –чуть недотягивали до уровня чтобы ими можно было действительно наслаждаться."
1563,18,,,1563:6,"Подруги же заказали себе пасту пене и стейк- им понравился как вкус принесенных блюд, так и размер порций."
1563,18,,,1563:7,"Пиво также всем понравилось , да и выбор достаточно большой- как и должно быть в Пабе."
1563,18,,,1563:8,"Обслуживали нас достаточно быстро, к интерьеру также претензий нет."
1563,18,,,1563:9,"Вывод: приходить в Паб стоит, но особо придирчивым к японской кухне заказывать суши лучше в специально отведенных для этого местах."
1052,19,AMBIENCE#GENERAL,positive,,
1052,19,SERVICE#GENERAL,negative,,
1052,19,RESTAURANT#GENERAL,conflict,,
1052,19,FOOD#QUALITY,positive,,
1052,19,RESTAURANT#PRICES,positive,,
1052,19,DRINKS#STYLE_OPTIONS,neutral,,
1052,19,,,1052:0,Посещала это заведение раз пять.
1052,19,,,1052:1,Возвращаться туда заставляла лишь хорошая кухня..
1052,19,,,1052:2,Карпаччо подают со всевозможными бальзамиками и маслом.
1052,19,,,1052:3,Неплохой выбор вин.
1052,19,,,1052:4,"Интерьер приятный: есть гардероб, диваны, приглушенный свет, ненавязчивая музыка (даже как-то раз наткнулись там на саксофониста), приятная атмосфера..."
1052,19,,,1052:5,НО!
1052,19,,,1052:6,Обслуживание отвратительно!
1052,19,,,1052:7,"Навсегда останется в памяти официант, который обращался к нам исключительно на ""ты"", дерзил, а когда ему было сделано замечание, он нам сообщил, что он поругался со своей девушкой и у него отвратительное настроение!"
1052,19,,,1052:8,"В В другой раз нам ""повезло"" не меньше."
1052,19,,,1052:9,Муж заказал стейк и мы често ждали его прибытия больше часа!
1052,19,,,1052:10,"Когда наша официантка все таки соизволила появиться (сидели мы почти у входа), от стейка мы отказались, но он волшебным образом всё равно оказался на столе уже через 5 минут и пришлось долго объяснять официантке, что его уже никто есть не будет!..."
1052,19,,,1052:11,"Резюме следующее: место в целом отличное, цены не кусаются, но следует серьезно задуматься о замене персонала..."
36381,20,SERVICE#GENERAL,negative,,
36381,20,AMBIENCE#GENERAL,positive,,
36381,20,FOOD#QUALITY,positive,,
36381,20,RESTAURANT#GENERAL,conflict,,
36381,20,,,36381:0,Красиво.
36381,20,,,36381:1,Вкусно.
36381,20,,,36381:2,"Обслуживание ""на уровне""."
36381,20,,,36381:3,"Вот на этот ""уровень"" оно и ориентированно, не на клиента ))"
36381,20,,,36381:4,"Приехали в 23, в будний день, вдвоем покушать."
36381,20,,,36381:5,"Ресторан создавал впечатление пустого, только приглядевшись можно было увидеть посетителей."
36381,20,,,36381:6,"Обслуживающего персонала было явно больше, чем гостей."
36381,20,,,36381:7,"Поднялись на второй этаж, встретила нас девушка, предложила пару маленьких столиков."
36381,20,,,36381:8,"Мы захотели сесть за большой стол, с диванами."
36381,20,,,36381:9,Ну уж очень хотелось на диван))
36381,20,,,36381:10,"Девушка категорично сказала: ""нет, большие столы - для больших компаний, и один из них зарезервирован""."
36381,20,,,36381:11,"Смешно, один занят, один зарезервирован, и еще несколько пустуют, но мы не можем сесть где нравится, т.к. нас только двое."
36381,20,,,36381:12,"Ну вдруг, в этом ресторане аншлаг неожиданно случается в полночь, ладно не будем занимать собой так много места."
36381,20,,,36381:13,Конечно до закрытия больше никто не появился.
36381,20,,,36381:14,"Кухня, действительно хороша."
36381,20,,,36381:15,Музыка тоже.
34334,21,AMBIENCE#GENERAL,positive,,
34334,21,SERVICE#GENERAL,positive,,
34334,21,RESTAURANT#GENERAL,positive,,
34334,21,FOOD#PRICES,positive,,
34334,21,FOOD#QUALITY,positive,,
34334,21,FOOD#STYLE_OPTIONS,positive,,
34334,21,,,34334:0,Хотим выразить вам огромную благодарность!!!!17 июля отмечали у вас свадьбу в новом зале на Галерной!!!
34334,21,,,34334:1,"Все ,ну очень довольны!!!"
34334,21,,,34334:2,"Большой,красивый зал, вежливые официанты, вкусная еда, никаких конфликтов и возражений со стороны персонала!!!"
34334,21,,,34334:3,Очень быстро решили забронировать ваш ресторан!
34334,21,,,34334:4,"Места много,меню хорошее, а зал украшать вообще не нужно!"
34334,21,,,34334:5,"Когда в других ресторанах нужно потратить кучу денег,чтобы закрыть жуткие стены и сделать подобие праздника!)"
34334,21,,,34334:6,"Здорово,что у вас своя кондитерская,цены те же,а торт был наивкуснейший!!!"
34334,21,,,34334:7,"Да и не нужно где-то заказывать, переживать за доставку, за то,что торт по дороге развалится!"
34334,21,,,34334:8,"Официанты очень внимательные и доброжелательные!!подходили,спрашивали,все ли хорошо, что лучше принести, на столе не было пустых бутылок и грязных салфеток!"
34334,21,,,34334:9,Все было просто супер!!!
34334,21,,,34334:10,После праздника осталась куча еды и алкоголя!
34334,21,,,34334:11,"Персонал все собрал и отдал нам,вплоть до наших начатых бутылок вина!"
