/Reviews,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
1009,10,,,1009:1,,Atıştırmalık Jumbo Combo pek yummy!
1010,11,AMBIENCE#GENERAL,positive,,,
1010,11,FOOD#QUALITY,positive,,,
1010,11,,,1010:0,,Deniz ürünleri çok başarılı.
1010,11,,,1010:1,,Manzarası zaten mükemmel.
1010,11,,,1010:2,,"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun."
1010,11,,,1010:3,,Onun dışında pek öğrenci mekanı değil.
1010,11,,,1010:4,,"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer"
1011,12,FOOD#PRICES,negative,,,
1011,12,AMBIENCE#GENERAL,positive,,,
1011,12,FOOD#QUALITY,positive,,,
1011,12,,,1011:0,,"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel."
1011,12,,,1011:1,,"Çalan müzik tam kıvamında, rahatsız etmiyor."
1011,12,,,1011:2,,"Yemekleri çok lezzetli, manzara mükemmel."
1011,12,,,1011:3,,"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir."
1012,13,AMBIENCE#GENERAL,negative,,,
1012,13,SERVICE#GENERAL,negative,,,
1012,13,,,1012:0,,Kalabalik zamanlarda servis fazlasiyla aksiyor.
1012,13,,,1012:1,,"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti."
1012,13,,,1012:2,,Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor
1013,14,AMBIENCE#GENERAL,positive,,,
1013,14,FOOD#QUALITY,positive,,,
1013,14,,,1013:0,,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz."
1013,14,,,1013:1,,İçinizi serinletecek enfes bir tat.
1014,15,FOOD#STYLE_OPTIONS,negative,,,
1014,15,RESTAURANT#GENERAL,negative,,,
1014,15,SERVICE#GENERAL,negative,,,
1014,15,,,1014:0,,Garsonlar suratsiz.
1014,15,,,1014:1,,Bu kadar methedilmeyi hakketmiyor.
1014,15,,,1014:2,,Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!
1014,15,,,1014:3,,Açiklama:
1014,15,,,1014:4,,kasarla köfte yoguruluyormus.
1014,15,,,1014:5,,Isletme sahibi kaba.
1014,15,,,1014:6,,Bizim kasarli köfte tanimimiz böyle diyor sadece!
1014,15,,,1014:7,,Müsteri memnuniyeti sifir!
1015,16,LOCATION#GENERAL,positive,,,
1015,16,RESTAURANT#GENERAL,positive,,,
1015,16,FOOD#QUALITY,positive,,,
1015,16,FOOD#STYLE_OPTIONS,positive,,,
1015,16,,,1015:0,,"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir."
1015,16,,,1015:1,,O zaman keşke başlangıçlarda menüde yer almasa!
1015,16,,,1015:2,,Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.
1015,16,,,1015:3,,İlk defa bir şubesine gidip oturup yemek yedim.
1015,16,,,1015:4,,"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi."
1015,16,,,1015:5,,Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.
1015,16,,,1015:6,,Evet suçluyum!
1015,16,,,1015:7,,Tek ayak üstünde köşeme çekiliyorum!
1015,16,,,1015:8,,Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.
1015,16,,,1015:9,,"Malzemesi bol, porsiyonu tam kıvamındaydı."
1015,16,,,1015:10,,"Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş."
1016,17,SERVICE#GENERAL,negative,,,
1016,17,FOOD#QUALITY,conflict,,,
1016,17,RESTAURANT#GENERAL,negative,,,
1016,17,FOOD#STYLE_OPTIONS,negative,,,
1016,17,RESTAURANT#PRICES,positive,,,
1016,17,LOCATION#GENERAL,positive,,,
1016,17,,,1016:0,,Beşiktaş'ın göbeğinde.
1016,17,,,1016:1,,"Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri."
1016,17,,,1016:2,,Ve deneyim maalesef çok da olumlu olmadı.
1016,17,,,1016:3,,"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi."
1016,17,,,1016:4,,"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi."
1016,17,,,1016:5,,"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii."
1016,17,,,1016:6,,"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal."
1017,18,FOOD#PRICES,negative,,,
1017,18,FOOD#QUALITY,positive,,,
1017,18,SERVICE#GENERAL,negative,,,
1017,18,,,1017:0,,Servis:
1017,18,,,1017:1,,4 Fiyat:
1017,18,,,1017:2,,5 Mekan:
1017,18,,,1017:3,,8 Lezzet:
1017,18,,,1017:4,,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor."
1018,19,RESTAURANT#GENERAL,positive,,,
1018,19,AMBIENCE#GENERAL,positive,,,
1018,19,FOOD#QUALITY,positive,,,
1018,19,FOOD#STYLE_OPTIONS,positive,,,
1018,19,,,1018:0,,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.
1018,19,,,1018:1,,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir
1019,20,FOOD#QUALITY,positive,,,
1019,20,,,1019:0,,Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.
1019,20,,,1019:1,,"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli."
1020,21,DRINKS#STYLE_OPTIONS,positive,,,
1020,21,DRINKS#QUALITY,positive,,,
1020,21,FOOD#QUALITY,positive,,,
1020,21,AMBIENCE#GENERAL,positive,,,
1020,21,,,1020:0,,Burada caylar harika!
1020,21,,,1020:1,,Bourbon Vanilla 34 numarali cay.
1020,21,,,1020:2,,Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.
1020,21,,,1020:3,,Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.
1020,21,,,1020:4,,Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!
1021,22,AMBIENCE#GENERAL,positive,,,
1021,22,RESTAURANT#GENERAL,positive,,,
1021,22,,,1021:0,,"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman."
1021,22,,,1021:1,,"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var."
1021,22,,,1021:2,,Hemde canlı müzikle :
1022,23,AMBIENCE#GENERAL,negative,,,
1022,23,FOOD#QUALITY,negative,,,
1022,23,RESTAURANT#GENERAL,negative,,,
1022,23,FOOD#STYLE_OPTIONS,negative,,,
1022,23,,,1022:0,,Daha iyisi var.
1022,23,,,1022:1,,Buranin doneri dedikleri kadar efsane degil.
1022,23,,,1022:2,,"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor."
1022,23,,,1022:3,,Ortami da begenmedim kalabalik 3. Sinif bir yer.
1022,23,,,1022:4,,Bir daha gitmem
1023,24,RESTAURANT#GENERAL,negative,,,
1023,24,FOOD#STYLE_OPTIONS,negative,,,
1023,24,AMBIENCE#GENERAL,positive,,,
1023,24,FOOD#QUALITY,conflict,,,
1023,24,SERVICE#GENERAL,negative,,,
1023,24,,,1023:0,,"Eti lezzetli, mekan gösterişli."
1023,24,,,1023:1,,Ama sunum resmen sıfır.
1023,24,,,1023:2,,30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?
1023,24,,,1023:3,,Havuç dilimi ise aşırı yağlı ve şerbetli.
1023,24,,,1023:4,,Pek yaratıcı özel bir yanı yok.
1024,25,RESTAURANT#GENERAL,negative,,,
1024,25,SERVICE#GENERAL,negative,,,
1024,25,,,1024:0,,Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!
1024,25,,,1024:1,,"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an..."
1024,25,,,1024:2,,"Olmadı Big Chefs, zincirsin sen..."
1025,26,RESTAURANT#PRICES,neutral,,,
1025,26,SERVICE#GENERAL,negative,,,
1025,26,AMBIENCE#GENERAL,negative,,,
1025,26,FOOD#QUALITY,negative,,,
1025,26,FOOD#STYLE_OPTIONS,negative,,,
1025,26,,,1025:0,,Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.
1025,26,,,1025:1,,Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.
1025,26,,,1025:2,,Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.
1025,26,,,1025:3,,Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.
1025,26,,,1025:4,,"Tavuklar kupkuruydu, kofte durum ise siradandi."
1025,26,,,1025:5,,Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.
1025,26,,,1025:6,,"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi."
1025,26,,,1025:7,,Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.
1025,26,,,1025:8,,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis."
1026,27,FOOD#STYLE_OPTIONS,negative,,,
1026,27,AMBIENCE#GENERAL,positive,,,
1026,27,SERVICE#GENERAL,negative,,,
1026,27,,,1026:0,,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim ."
1026,27,,,1026:1,,"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi."
1027,28,FOOD#STYLE_OPTIONS,neutral,,,
1027,28,RESTAURANT#GENERAL,positive,,,
1027,28,SERVICE#GENERAL,negative,,,
1027,28,,,1027:0,,Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.
1027,28,,,1027:1,,Gidilebilecek iyi yerlerden birisi.
1027,28,,,1027:2,,Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.
1027,28,,,1027:3,,Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.
1027,28,,,1027:4,,Diger Mado subeleri kadar genis bir menü seçenekleri yok.
1027,28,,,1027:5,,Klasik dondurma spesiyalleri ve tatlililari var.
1028,29,AMBIENCE#GENERAL,negative,,,
1028,29,RESTAURANT#GENERAL,negative,,,
1028,29,SERVICE#GENERAL,negative,,,
1028,29,,,1028:0,,"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi."
1028,29,,,1028:1,,Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.
1028,29,,,1028:2,,Internetteki resimlerinden göründügü kadar güzel degildi.
1029,30,DRINKS#QUALITY,neutral,,,
1029,30,FOOD#QUALITY,positive,,,
1029,30,RESTAURANT#GENERAL,positive,,,
1029,30,,,1029:0,,Su böregi ile kahvalti yaptim bugün.
1029,30,,,1029:1,,Su böregi oldukça lezzetli idi.
1029,30,,,1029:2,,Çay kötü müydü?
1029,30,,,1029:3,,"Hayir, çok taze ve lezzetliydi."
1029,30,,,1029:4,,Beklentimin üstündeydi.
1030,31,RESTAURANT#PRICES,positive,,,
1030,31,RESTAURANT#MISCELLANEOUS,positive,,,
1030,31,AMBIENCE#GENERAL,positive,,,
1030,31,RESTAURANT#GENERAL,positive,,,
1030,31,FOOD#STYLE_OPTIONS,positive,,,
1030,31,,,1030:0,,Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.
1030,31,,,1030:1,,Dügünler falan da yapilir.
1030,31,,,1030:2,,Ama konaklamasi yok diye biliyorum.
1030,31,,,1030:3,,Yazin daha zevkli oluyor manzaraya karsi oturmasi.
1030,31,,,1030:4,,Marmara ögrencilerine de indirimli fiyat uygulamasi var.
1030,31,,,1030:5,,O yüzden de bizim için avantajli oluyor.
1030,31,,,1030:6,,"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar."
1030,31,,,1030:7,,Kuaförü de çok ucuz ve iyi ayrica.
1030,31,,,1030:8,,Daha ne olsun =)
1031,32,FOOD#PRICES,negative,,,
1031,32,AMBIENCE#GENERAL,positive,,,
1031,32,FOOD#QUALITY,negative,,,
1031,32,RESTAURANT#GENERAL,neutral,,,
1031,32,,,1031:0,,Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.
1031,32,,,1031:1,,Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.
1031,32,,,1031:2,,Paranız çoksa deneyin ama şart da değil:
1032,33,AMBIENCE#GENERAL,negative,,,
1032,33,FOOD#QUALITY,positive,,,
1032,33,,,1032:0,,Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.
1033,34,SERVICE#GENERAL,negative,,,
1033,34,LOCATION#GENERAL,negative,,,
1033,34,AMBIENCE#GENERAL,positive,,,
1033,34,FOOD#QUALITY,positive,,,
1033,34,FOOD#STYLE_OPTIONS,positive,,,
1033,34,,,1033:0,,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan."
1033,34,,,1033:1,,Sira bekleme olayi ise çok kötü...
1034,35,FOOD#QUALITY,negative,,,
1034,35,AMBIENCE#GENERAL,positive,,,
1034,35,RESTAURANT#GENERAL,neutral,,,
1034,35,,,1034:0,,Aci sevmeyenlere uygun bir mekan degil.
1034,35,,,1034:1,,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil."
1035,36,SERVICE#GENERAL,positive,,,
1035,36,RESTAURANT#GENERAL,positive,,,
1035,36,FOOD#QUALITY,positive,,,
1035,36,FOOD#STYLE_OPTIONS,positive,,,
1035,36,,,1035:0,,Sadece meze yiyin.
1035,36,,,1035:1,,Her hafta gelmeye çalışıyoruz.
1035,36,,,1035:2,,"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor."
1035,36,,,1035:3,,Rekorum 9 meze!
1035,36,,,1035:4,,Balığın fast food gibi yenildiği yer.
1035,36,,,1035:5,,Yavaş yavaş balık keyfi yapmak isterseniz önermem.
1035,36,,,1035:6,,Servisi çok hızlı.
1035,36,,,1035:7,,Mısır ekmeği de sıcacık bayılıyorum.
1036,37,DRINKS#PRICES,negative,,,
1036,37,DRINKS#STYLE_OPTIONS,positive,,,
1036,37,AMBIENCE#GENERAL,positive,,,
1036,37,FOOD#QUALITY,negative,,,
1036,37,RESTAURANT#GENERAL,positive,,,
1036,37,,,1036:0,,"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :"
1036,37,,,1036:1,,) Evet aynen böyle olmuştu Dem'de...
1036,37,,,1036:2,,"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim."
1037,38,AMBIENCE#GENERAL,positive,,,
1037,38,RESTAURANT#GENERAL,positive,,,
1037,38,SERVICE#GENERAL,positive,,,
1037,38,,,1037:0,,Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası...
1037,38,,,1037:1,,Neden şimdiye kadar gelmemişim dedim.
1037,38,,,1037:2,,Servisten de oldukça memnun kaldık.
1037,38,,,1037:3,,Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...
1038,39,AMBIENCE#GENERAL,negative,,,
1038,39,SERVICE#GENERAL,positive,,,
1038,39,,,1038:0,,Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.
1038,39,,,1038:1,,Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.
1038,39,,,1038:2,,Garsonlar iyi.
1038,39,,,1038:3,,Ürünlerin lezzeti diğer Sütiş'lerle aynı.
1039,40,FOOD#STYLE_OPTIONS,negative,,,
1039,40,RESTAURANT#GENERAL,negative,,,
1039,40,SERVICE#GENERAL,negative,,,
1039,40,,,1039:0,,"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi."
1039,40,,,1039:1,,Kesinlikle tavsiye etmiyorum.
1040,41,RESTAURANT#PRICES,negative,,,
1040,41,AMBIENCE#GENERAL,negative,,,
1040,41,FOOD#QUALITY,neutral,,,
1040,41,RESTAURANT#GENERAL,negative,,,
1040,41,FOOD#STYLE_OPTIONS,negative,,,
1040,41,,,1040:0,,Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.
1040,41,,,1040:1,,Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.
1040,41,,,1040:2,,Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.
1040,41,,,1040:3,,Mezeler de vasatın üzerinde.
1040,41,,,1040:4,,Balkon/teras bölümü de cidden çok küçük.
1040,41,,,1040:5,,Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.
1041,42,FOOD#QUALITY,negative,,,
1041,42,AMBIENCE#GENERAL,neutral,,,
1041,42,RESTAURANT#GENERAL,negative,,,
1041,42,SERVICE#GENERAL,negative,,,
1041,42,,,1041:0,,Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.
1041,42,,,1041:1,,Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.
1041,42,,,1041:2,,Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.
1041,42,,,1041:3,,Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.
1041,42,,,1041:4,,Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.
1042,43,AMBIENCE#GENERAL,negative,,,
1042,43,FOOD#QUALITY,positive,,,
1042,43,,,1042:0,,"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat."
1042,43,,,1042:1,,"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin"
1043,44,RESTAURANT#GENERAL,positive,,,
1043,44,FOOD#QUALITY,positive,,,
1043,44,,,1043:0,,Istanbulda baklavanın adresi.
1043,44,,,1043:1,,"Karaköyden, Eminönünden geçerken uğramalısınız."
1043,44,,,1043:2,,Sadece baklava değil karışık tabak yaptırın.
1043,44,,,1043:3,,Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim
1044,45,AMBIENCE#GENERAL,positive,,,
1044,45,FOOD#QUALITY,positive,,,
1044,45,,,1044:0,,"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor."
1045,46,FOOD#QUALITY,positive,,,
1045,46,RESTAURANT#GENERAL,positive,,,
1045,46,,,1045:0,,Burayi seviyorum gerçekten.
