/Reviews,,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,FOOD#PRICES,negative,,,,
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,,,es_9reinas_14_AngelEspanolPuig_2014-06-26:0,,,Nada especial.
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,,,es_9reinas_14_AngelEspanolPuig_2014-06-26:1,,,"Me habían comentado maravillas y está bien, pero nada más."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,,,es_9reinas_14_AngelEspanolPuig_2014-06-26:2,,,"Las carnes bien, pero como muchas otras."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,,,es_9reinas_14_AngelEspanolPuig_2014-06-26:3,,,"El precio, por lo que es la comida, para mi gusto es elevado."
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,FOOD#QUALITY,positive,,,,
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,SERVICE#GENERAL,positive,,,,
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,AMBIENCE#GENERAL,positive,,,,
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,RESTAURANT#GENERAL,positive,,,,
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,,,es_9reinas_17_JoseCarlosLopez_2014-02-24:0,,,"la calidad del producto, el servicio, el entorno todo fue excelente"
es_9reinas_18_DanielGonzalez_2014-02-01,5,RESTAURANT#GENERAL,positive,,,,
es_9reinas_18_DanielGonzalez_2014-02-01,5,SERVICE#GENERAL,positive,,,,
es_9reinas_18_DanielGonzalez_2014-02-01,5,FOOD#QUALITY,positive,,,,
es_9reinas_18_DanielGonzalez_2014-02-01,5,RESTAURANT#PRICES,positive,,,,
es_9reinas_18_DanielGonzalez_2014-02-01,5,FOOD#STYLE_OPTIONS,positive,,,,
es_9reinas_18_DanielGonzalez_2014-02-01,5,,,es_9reinas_18_DanielGonzalez_2014-02-01:0,,,9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.
es_9reinas_18_DanielGonzalez_2014-02-01,5,,,es_9reinas_18_DanielGonzalez_2014-02-01:1,,,El servicio es muy bueno y la calidad de la comida al mismo nivel.
es_9reinas_18_DanielGonzalez_2014-02-01,5,,,es_9reinas_18_DanielGonzalez_2014-02-01:2,,,Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.
es_9reinas_18_DanielGonzalez_2014-02-01,5,,,es_9reinas_18_DanielGonzalez_2014-02-01:3,,,Volveremos.
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,FOOD#QUALITY,positive,,,,
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,AMBIENCE#GENERAL,positive,,,,
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,RESTAURANT#GENERAL,positive,,,,
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,SERVICE#GENERAL,positive,,,,
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,,,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,,,"Fabuloso, muy atentos la comida excelente y un ambiente estupendo."
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,,,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:1,,,Mis amigos quedaron encantados y nosotros tambien.
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,6,,,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2,,,Vale la pena ir y probar sus carnes.
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,AMBIENCE#GENERAL,positive,,,,
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,FOOD#QUALITY,positive,,,,
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,SERVICE#GENERAL,positive,,,,
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,RESTAURANT#GENERAL,positive,,,,
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,,,es_9reinas_24_PilarTorresCarbajo_2013-12-22:0,,,"El restaurante es precioso, moderno y acogedor."
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,,,es_9reinas_24_PilarTorresCarbajo_2013-12-22:1,,,La comida está deliciosa y es de calidad.
es_9reinas_24_PilarTorresCarbajo_2013-12-22,7,,,es_9reinas_24_PilarTorresCarbajo_2013-12-22:2,,,El servicio muy atento.
es_9reinas_26_Lucia_2013-12-10,8,RESTAURANT#GENERAL,positive,,,,
es_9reinas_26_Lucia_2013-12-10,8,FOOD#QUALITY,positive,,,,
es_9reinas_26_Lucia_2013-12-10,8,SERVICE#GENERAL,positive,,,,
es_9reinas_26_Lucia_2013-12-10,8,DRINKS#QUALITY,positive,,,,
es_9reinas_26_Lucia_2013-12-10,8,,,es_9reinas_26_Lucia_2013-12-10:0,,,Hemos ido varias veces a cenar al 9reinas y nunca defrauda!
es_9reinas_26_Lucia_2013-12-10,8,,,es_9reinas_26_Lucia_2013-12-10:1,,,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!
es_9reinas_26_Lucia_2013-12-10,8,,,es_9reinas_26_Lucia_2013-12-10:2,,,Sin duda repetiremos.
es_9reinas_29_MarionCanavera_2013-07-14,9,RESTAURANT#GENERAL,positive,,,,
es_9reinas_29_MarionCanavera_2013-07-14,9,FOOD#QUALITY,positive,,,,
es_9reinas_29_MarionCanavera_2013-07-14,9,,,es_9reinas_29_MarionCanavera_2013-07-14:0,,,restaurante excelente con carne de alta calidad.
es_9reinas_29_MarionCanavera_2013-07-14,9,,,es_9reinas_29_MarionCanavera_2013-07-14:1,,,Nos encanto!
es_9reinas_2_AlbertMuntana_2015-03-09,10,RESTAURANT#GENERAL,positive,,,,
es_9reinas_2_AlbertMuntana_2015-03-09,10,SERVICE#GENERAL,positive,,,,
es_9reinas_2_AlbertMuntana_2015-03-09,10,FOOD#QUALITY,positive,,,,
es_9reinas_2_AlbertMuntana_2015-03-09,10,AMBIENCE#GENERAL,positive,,,,
es_9reinas_2_AlbertMuntana_2015-03-09,10,,,es_9reinas_2_AlbertMuntana_2015-03-09:0,,,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto."
es_9reinas_30_LauraMallen_2013-06-23,11,RESTAURANT#GENERAL,positive,,,,
es_9reinas_30_LauraMallen_2013-06-23,11,AMBIENCE#GENERAL,positive,,,,
es_9reinas_30_LauraMallen_2013-06-23,11,FOOD#QUALITY,positive,,,,
es_9reinas_30_LauraMallen_2013-06-23,11,SERVICE#GENERAL,positive,,,,
es_9reinas_30_LauraMallen_2013-06-23,11,,,es_9reinas_30_LauraMallen_2013-06-23:0,,,Hemos ido a cenar y la verdad es que nos ha encantado.
es_9reinas_30_LauraMallen_2013-06-23,11,,,es_9reinas_30_LauraMallen_2013-06-23:1,,,el sitio es muy bonito la comida estupenda y el trato inmejorable.
es_9reinas_30_LauraMallen_2013-06-23,11,,,es_9reinas_30_LauraMallen_2013-06-23:2,,,totalmente recomendable
es_9reinas_31_Sp_2013-06-22,12,RESTAURANT#GENERAL,positive,,,,
es_9reinas_31_Sp_2013-06-22,12,AMBIENCE#GENERAL,neutral,,,,
es_9reinas_31_Sp_2013-06-22,12,SERVICE#GENERAL,positive,,,,
es_9reinas_31_Sp_2013-06-22,12,FOOD#QUALITY,positive,,,,
es_9reinas_31_Sp_2013-06-22,12,,,es_9reinas_31_Sp_2013-06-22:0,,,"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio."
es_9reinas_31_Sp_2013-06-22,12,,,es_9reinas_31_Sp_2013-06-22:1,,,El dulce de leche es divino.
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,RESTAURANT#GENERAL,positive,,,,
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,FOOD#QUALITY,positive,,,,
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,RESTAURANT#PRICES,positive,,,,
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,SERVICE#GENERAL,positive,,,,
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,,,es_9reinas_32_JordiFriasMartinez_2013-05-07:0,,,Primera visita a este Restaurante con resultado satisfactorio.
es_9reinas_32_JordiFriasMartinez_2013-05-07,13,,,es_9reinas_32_JordiFriasMartinez_2013-05-07:1,,,"Calidad, profesionalidad y precio acorde con la oferta."
es_9reinas_35_Seasexandsun_2013-04-02,14,RESTAURANT#GENERAL,positive,,,,
es_9reinas_35_Seasexandsun_2013-04-02,14,,,es_9reinas_35_Seasexandsun_2013-04-02:0,,,Casi como en Argentina.
es_9reinas_38_AdamNash_2013-02-13,15,RESTAURANT#GENERAL,positive,,,,
es_9reinas_38_AdamNash_2013-02-13,15,,,es_9reinas_38_AdamNash_2013-02-13:0,,,Fantastico!!!
es_9reinas_38_AdamNash_2013-02-13,15,,,es_9reinas_38_AdamNash_2013-02-13:1,,,Delicioso!!!
es_9reinas_3_OliviaPotet_2015-01-15,16,RESTAURANT#GENERAL,positive,,,,
es_9reinas_3_OliviaPotet_2015-01-15,16,FOOD#QUALITY,positive,,,,
es_9reinas_3_OliviaPotet_2015-01-15,16,SERVICE#GENERAL,positive,,,,
es_9reinas_3_OliviaPotet_2015-01-15,16,,,es_9reinas_3_OliviaPotet_2015-01-15:0,,,resaturante fantástico con excelente comida y servicio aun mejor!!!!
es_9reinas_3_OliviaPotet_2015-01-15,16,,,es_9reinas_3_OliviaPotet_2015-01-15:1,,,"tremenda amabilidad, es un gustazo!"
es_9reinas_40_RichardHobohm_2013-01-03,17,SERVICE#GENERAL,positive,,,,
es_9reinas_40_RichardHobohm_2013-01-03,17,AMBIENCE#GENERAL,negative,,,,
es_9reinas_40_RichardHobohm_2013-01-03,17,RESTAURANT#PRICES,neutral,,,,
es_9reinas_40_RichardHobohm_2013-01-03,17,RESTAURANT#GENERAL,positive,,,,
es_9reinas_40_RichardHobohm_2013-01-03,17,,,es_9reinas_40_RichardHobohm_2013-01-03:0,,,"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto."
es_9reinas_40_RichardHobohm_2013-01-03,17,,,es_9reinas_40_RichardHobohm_2013-01-03:1,,,Estaria bien musica argentina.
es_9reinas_40_RichardHobohm_2013-01-03,17,,,es_9reinas_40_RichardHobohm_2013-01-03:2,,,Los precios estan dentro de los parametros normales.
es_9reinas_42_EduardoCubero_2012-12-04,18,SERVICE#GENERAL,positive,,,,
es_9reinas_42_EduardoCubero_2012-12-04,18,FOOD#QUALITY,positive,,,,
es_9reinas_42_EduardoCubero_2012-12-04,18,RESTAURANT#GENERAL,positive,,,,
es_9reinas_42_EduardoCubero_2012-12-04,18,,,es_9reinas_42_EduardoCubero_2012-12-04:0,,,Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.
es_9reinas_42_EduardoCubero_2012-12-04,18,,,es_9reinas_42_EduardoCubero_2012-12-04:1,,,Enhorabuena!!
es_9reinas_47_SandraMonica_2012-08-15,19,RESTAURANT#GENERAL,positive,,,,
es_9reinas_47_SandraMonica_2012-08-15,19,FOOD#PRICES,negative,,,,
es_9reinas_47_SandraMonica_2012-08-15,19,FOOD#QUALITY,neutral,,,,
es_9reinas_47_SandraMonica_2012-08-15,19,AMBIENCE#GENERAL,negative,,,,
es_9reinas_47_SandraMonica_2012-08-15,19,,,es_9reinas_47_SandraMonica_2012-08-15:0,,,"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato."
es_9reinas_47_SandraMonica_2012-08-15,19,,,es_9reinas_47_SandraMonica_2012-08-15:1,,,"La tira de asado normal, nada extraordinaria."
es_9reinas_47_SandraMonica_2012-08-15,19,,,es_9reinas_47_SandraMonica_2012-08-15:2,,,Muy bien los postres y el matambre.
es_9reinas_47_SandraMonica_2012-08-15,19,,,es_9reinas_47_SandraMonica_2012-08-15:3,,,"Se podria mejorar la iluminación en la planta superior, demasiada luz plana."
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,RESTAURANT#GENERAL,positive,,,,
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,AMBIENCE#GENERAL,positive,,,,
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,SERVICE#GENERAL,positive,,,,
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,FOOD#QUALITY,positive,,,,
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,,,es_9reinas_48_DamarisRodriguezPerez_2012-07-30:0,,,Recomendable 100%.
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,,,es_9reinas_48_DamarisRodriguezPerez_2012-07-30:1,,,"Un sitio precioso, con un ambiente exquisito."
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,20,,,es_9reinas_48_DamarisRodriguezPerez_2012-07-30:2,,,El servicio inmejorable y la comida excepcional!!
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,FOOD#QUALITY,positive,,,,
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,FOOD#STYLE_OPTIONS,positive,,,,
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,RESTAURANT#GENERAL,positive,,,,
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,,,es_9reinas_49_AntonioBlancoLopez_2012-07-16:0,,,Exquisitas las ensaladas y la carne.
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,,,es_9reinas_49_AntonioBlancoLopez_2012-07-16:1,,,Abundante comida.
es_9reinas_49_AntonioBlancoLopez_2012-07-16,21,,,es_9reinas_49_AntonioBlancoLopez_2012-07-16:2,,,Seguro que no te quedas con hambre y la claidad excelente.
es_9reinas_50_Joan_2012-06-03,22,FOOD#QUALITY,positive,,,,
es_9reinas_50_Joan_2012-06-03,22,SERVICE#GENERAL,positive,,,,
es_9reinas_50_Joan_2012-06-03,22,RESTAURANT#GENERAL,positive,,,,
es_9reinas_50_Joan_2012-06-03,22,,,es_9reinas_50_Joan_2012-06-03:0,,,La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.
es_9reinas_51_MiguelNunez_2011-12-23,23,FOOD#QUALITY,positive,,,,
es_9reinas_51_MiguelNunez_2011-12-23,23,RESTAURANT#GENERAL,positive,,,,
es_9reinas_51_MiguelNunez_2011-12-23,23,,,es_9reinas_51_MiguelNunez_2011-12-23:0,,,Si no has probado sus carnes te estas perdiendo algo muy grande!
es_9reinas_52_MarianCamps_2011-12-11,24,FOOD#QUALITY,positive,,,,
es_9reinas_52_MarianCamps_2011-12-11,24,SERVICE#GENERAL,positive,,,,
es_9reinas_52_MarianCamps_2011-12-11,24,RESTAURANT#GENERAL,positive,,,,
es_9reinas_52_MarianCamps_2011-12-11,24,,,es_9reinas_52_MarianCamps_2011-12-11:0,,,Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.
es_9reinas_52_MarianCamps_2011-12-11,24,,,es_9reinas_52_MarianCamps_2011-12-11:1,,,Repetiremos seguro!!
es_9reinas_52_MarianCamps_2011-12-11,24,,,es_9reinas_52_MarianCamps_2011-12-11:2,,,Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.
es_9reinas_53_Adriana_2011-12-01,25,RESTAURANT#GENERAL,positive,,,,
es_9reinas_53_Adriana_2011-12-01,25,,,es_9reinas_53_Adriana_2011-12-01:0,,,Me encanto!!!
es_9reinas_53_Adriana_2011-12-01,25,,,es_9reinas_53_Adriana_2011-12-01:1,,,Sobran las palabras...volveré seguro!
es_9reinas_54_MartaColomer_2011-11-24,26,FOOD#QUALITY,positive,,,,
es_9reinas_54_MartaColomer_2011-11-24,26,SERVICE#GENERAL,positive,,,,
es_9reinas_54_MartaColomer_2011-11-24,26,RESTAURANT#GENERAL,positive,,,,
es_9reinas_54_MartaColomer_2011-11-24,26,,,es_9reinas_54_MartaColomer_2011-11-24:0,,,El restaurants comimos muy bien y ademas un servicio encantador y eficiente.
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,27,FOOD#QUALITY,negative,,,,
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,27,RESTAURANT#GENERAL,negative,,,,
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,27,,,es_9reinas_55_JoseMCazorlaMontero_2011-11-03:0,,,"Tomamos Vacío y Entrañas (especialidades conocidas, entre otras cosas, por lo blando de su carne)."
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,27,,,es_9reinas_55_JoseMCazorlaMontero_2011-11-03:1,,,"En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático."
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,27,,,es_9reinas_55_JoseMCazorlaMontero_2011-11-03:2,,,Decepcionante...
es_9reinas_56_Michael_2011-09-28,28,FOOD#QUALITY,positive,,,,
es_9reinas_56_Michael_2011-09-28,28,SERVICE#GENERAL,positive,,,,
es_9reinas_56_Michael_2011-09-28,28,AMBIENCE#GENERAL,positive,,,,
es_9reinas_56_Michael_2011-09-28,28,RESTAURANT#GENERAL,positive,,,,
es_9reinas_56_Michael_2011-09-28,28,,,es_9reinas_56_Michael_2011-09-28:0,,,"La calidad de la comida excelente, el servicio super amable y siempre atento."
es_9reinas_56_Michael_2011-09-28,28,,,es_9reinas_56_Michael_2011-09-28:1,,,El ambiente muy acogedor.
es_9reinas_56_Michael_2011-09-28,28,,,es_9reinas_56_Michael_2011-09-28:2,,,Una experiencia culinaria inolvidable.
es_9reinas_58_NuriaCasas_2011-09-17,29,FOOD#QUALITY,positive,,,,
es_9reinas_58_NuriaCasas_2011-09-17,29,SERVICE#GENERAL,positive,,,,
es_9reinas_58_NuriaCasas_2011-09-17,29,,,es_9reinas_58_NuriaCasas_2011-09-17:0,,,Comida y Servicio estupendo
es_9reinas_5_MiroPietrov_2014-12-31,30,RESTAURANT#GENERAL,positive,,,,
es_9reinas_5_MiroPietrov_2014-12-31,30,,,es_9reinas_5_MiroPietrov_2014-12-31:0,,,Todo muy bueno
es_9reinas_61_JoseLuis_2011-07-09,31,AMBIENCE#GENERAL,positive,,,,
es_9reinas_61_JoseLuis_2011-07-09,31,SERVICE#GENERAL,positive,,,,
es_9reinas_61_JoseLuis_2011-07-09,31,FOOD#QUALITY,positive,,,,
es_9reinas_61_JoseLuis_2011-07-09,31,RESTAURANT#PRICES,neutral,,,,
es_9reinas_61_JoseLuis_2011-07-09,31,RESTAURANT#GENERAL,positive,,,,
es_9reinas_61_JoseLuis_2011-07-09,31,,,es_9reinas_61_JoseLuis_2011-07-09:0,,,"ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes."
es_9reinas_61_JoseLuis_2011-07-09,31,,,es_9reinas_61_JoseLuis_2011-07-09:1,,,El precio un tanto elevado pero razonable.
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,FOOD#STYLE_OPTIONS,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,FOOD#QUALITY,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,AMBIENCE#GENERAL,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,SERVICE#GENERAL,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,FOOD#PRICES,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,RESTAURANT#GENERAL,positive,,,,
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,,,es_9reinas_62_LuciaLinaresSilveria_2011-06-17:0,,,"Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento."
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,32,,,es_9reinas_62_LuciaLinaresSilveria_2011-06-17:1,,,Muy buena relación calidad-precio.
es_9reinas_63_JorgeCiollaro_2011-05-26,33,SERVICE#GENERAL,positive,,,,
es_9reinas_63_JorgeCiollaro_2011-05-26,33,AMBIENCE#GENERAL,positive,,,,
es_9reinas_63_JorgeCiollaro_2011-05-26,33,FOOD#QUALITY,positive,,,,
es_9reinas_63_JorgeCiollaro_2011-05-26,33,RESTAURANT#GENERAL,positive,,,,
es_9reinas_63_JorgeCiollaro_2011-05-26,33,,,es_9reinas_63_JorgeCiollaro_2011-05-26:0,,,"Buen servicio, ambiente y excelente comida."
es_9reinas_64_Anonimo_2011-05-14,34,FOOD#QUALITY,positive,,,,
es_9reinas_64_Anonimo_2011-05-14,34,AMBIENCE#GENERAL,negative,,,,
es_9reinas_64_Anonimo_2011-05-14,34,RESTAURANT#GENERAL,neutral,,,,
es_9reinas_64_Anonimo_2011-05-14,34,,,es_9reinas_64_Anonimo_2011-05-14:0,,,"La comida muy rica, pero el local extremadamente ruidoso (sobre todo el piso de arriba)."
es_9reinas_64_Anonimo_2011-05-14,34,,,es_9reinas_64_Anonimo_2011-05-14:1,,,Llegaba un momento en que apetecía irse por el ruido.
es_9reinas_64_Anonimo_2011-05-14,34,,,es_9reinas_64_Anonimo_2011-05-14:2,,,Poca intimidad.
es_9reinas_64_Anonimo_2011-05-14,34,,,es_9reinas_64_Anonimo_2011-05-14:3,,,"Quizás bueno para cenas de grupo, pero parejas abstenerse."
es_9reinas_67_Anonimo_2011-05-02,35,AMBIENCE#GENERAL,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,FOOD#STYLE_OPTIONS,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,DRINKS#STYLE_OPTIONS,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,RESTAURANT#PRICES,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,RESTAURANT#GENERAL,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,SERVICE#GENERAL,conflict,,,,
es_9reinas_67_Anonimo_2011-05-02,35,FOOD#QUALITY,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,RESTAURANT#MISCELLANEOUS,positive,,,,
es_9reinas_67_Anonimo_2011-05-02,35,,,es_9reinas_67_Anonimo_2011-05-02:0,,,"Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta."
es_9reinas_67_Anonimo_2011-05-02,35,,,es_9reinas_67_Anonimo_2011-05-02:1,,,"Muy recomendable, por tanto."
es_9reinas_67_Anonimo_2011-05-02,35,,,es_9reinas_67_Anonimo_2011-05-02:2,,,"Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones."
es_9reinas_67_Anonimo_2011-05-02,35,,,es_9reinas_67_Anonimo_2011-05-02:3,,,"Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto."
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,AMBIENCE#GENERAL,positive,,,,
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,FOOD#QUALITY,positive,,,,
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,FOOD#STYLE_OPTIONS,positive,,,,
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,RESTAURANT#GENERAL,positive,,,,
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,,,es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:0,,,"Fue una cena perfecta, por el lugar y sobre todo por la comida."
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,,,es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:1,,,Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,36,,,es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24:2,,,"Para los amantes de la carne no dudéis en pedir el Solomillo del Chef, exquisíto."
es_barceloneta_0_Jesus_2015-09-07,37,FOOD#QUALITY,positive,,,,
es_barceloneta_0_Jesus_2015-09-07,37,FOOD#PRICES,negative,,,,
es_barceloneta_0_Jesus_2015-09-07,37,RESTAURANT#GENERAL,conflict,,,,
es_barceloneta_0_Jesus_2015-09-07,37,,,es_barceloneta_0_Jesus_2015-09-07:0,,,<->Aunque los productos sean de calidad el precio es elevado
es_barceloneta_0_Jesus_2015-09-07,37,,,es_barceloneta_0_Jesus_2015-09-07:1,,,<+>El local y su situación
es_barceloneta_101_Marc_2010-09-16,38,RESTAURANT#GENERAL,positive,,,,
es_barceloneta_101_Marc_2010-09-16,38,FOOD#QUALITY,positive,,,,
es_barceloneta_101_Marc_2010-09-16,38,SERVICE#GENERAL,positive,,,,
es_barceloneta_101_Marc_2010-09-16,38,AMBIENCE#GENERAL,positive,,,,
es_barceloneta_101_Marc_2010-09-16,38,,,es_barceloneta_101_Marc_2010-09-16:0,,,Sólo puedo decir cosas buenas de este restaurante.
es_barceloneta_101_Marc_2010-09-16,38,,,es_barceloneta_101_Marc_2010-09-16:1,,,Comimos muy bien y bien atendidos.
es_barceloneta_101_Marc_2010-09-16,38,,,es_barceloneta_101_Marc_2010-09-16:2,,,Las gambas fresquísimas.
es_barceloneta_101_Marc_2010-09-16,38,,,es_barceloneta_101_Marc_2010-09-16:3,,,Una maravilla como está decorado.
