/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
54,4,,,54:4,They sent it back with a huge crack in it and it still didn't work.
54,4,,,54:5,And that was the fourth time ive sent it to them to get fixed.
54,4,,,54:6,Its been a year and am still waiting to see what there going to do about my laptop.
54,4,,,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...
252,5,LAPTOP#GENERAL,positive,,
252,5,LAPTOP#PRICE,negative,,
252,5,LAPTOP#USABILITY,neutral,,
252,5,,,252:0,"So far, a great product."
252,5,,,252:1,"High price tag, however."
252,5,,,252:2,Still trying to learn how to use it.
85,6,LAPTOP#PRICE,positive,,
85,6,LAPTOP#GENERAL,positive,,
85,6,LAPTOP#OPERATION_PERFORMANCE,positive,,
85,6,LAPTOP#USABILITY,positive,,
85,6,SUPPORT#QUALITY,positive,,
85,6,,,85:0,"Okay, let's just start out by saying I am in no way a computer techy."
85,6,,,85:1,"I am a wife, mom and a school teacher and a college student."
85,6,,,85:2,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient."
85,6,,,85:3,I work on a PC at home and have used Pc all through college.
85,6,,,85:4,"I use the computer to basically check emails, surf the web, print coupons and for my college papers."
85,6,,,85:5,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.
85,6,,,85:6,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.
85,6,,,85:7,My brother is a computer wiz and would laugh at me because he used an Apple.
85,6,,,85:8,"Finally, I couldn't take it anymore and ordered my Apple."
85,6,,,85:9,"Yes, I thought the expese was a little much, but I now realize you get what you pay for."
85,6,,,85:10,"I love my Apple, it is quick and easy to use."
85,6,,,85:11,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me."
85,6,,,85:12,I can't say enough of how satisfied I am with their product and help aftermarket.
85,6,,,85:13,Money and time well spent!
85,6,,,85:14,Highly recommended!
375,7,LAPTOP#PRICE,positive,,
375,7,LAPTOP#DESIGN_FEATURES,conflict,,
375,7,LAPTOP#OPERATION_PERFORMANCE,positive,,
375,7,LAPTOP#GENERAL,positive,,
375,7,,,375:0,This laptop is a great price and has a sleek look.
375,7,,,375:1,Runs smooth and quick.
375,7,,,375:2,"I wish it had a webcam though, then it would be perfect!"
139,8,LAPTOP#GENERAL,negative,,
139,8,LAPTOP#CONNECTIVITY,negative,,
139,8,DISPLAY#OPERATION_PERFORMANCE,negative,,
139,8,LAPTOP#OPERATION_PERFORMANCE,negative,,
139,8,COMPANY#GENERAL,negative,,
139,8,,,139:0,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked."
139,8,,,139:1,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.
139,8,,,139:2,Eventually the screen went blank and the computer would not turn on.
139,8,,,139:3,HP said it was out of warranty.
139,8,,,139:4,Guess I'll stay away from HP.
B00KMRGF28_285_AULBCYLXY34W9,9,LAPTOP#PRICE,positive,,
B00KMRGF28_285_AULBCYLXY34W9,9,LAPTOP#GENERAL,positive,,
B00KMRGF28_285_AULBCYLXY34W9,9,LAPTOP#USABILITY,positive,,
B00KMRGF28_285_AULBCYLXY34W9,9,LAPTOP#DESIGN_FEATURES,conflict,,
B00KMRGF28_285_AULBCYLXY34W9,9,LAPTOP#PORTABILITY,positive,,
B00KMRGF28_285_AULBCYLXY34W9,9,,,B00KMRGF28_285_AULBCYLXY34W9:0,Great price and computer!
B00KMRGF28_285_AULBCYLXY34W9,9,,,B00KMRGF28_285_AULBCYLXY34W9:1,"I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc."
B00KMRGF28_285_AULBCYLXY34W9,9,,,B00KMRGF28_285_AULBCYLXY34W9:2,They loved it.
B00KMRGF28_285_AULBCYLXY34W9,9,,,B00KMRGF28_285_AULBCYLXY34W9:3,"It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling)."
B00KMRGF28_285_AULBCYLXY34W9,9,,,B00KMRGF28_285_AULBCYLXY34W9:4,"But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!"
76,10,LAPTOP#GENERAL,positive,,
76,10,BATTERY#OPERATION_PERFORMANCE,positive,,
76,10,LAPTOP#DESIGN_FEATURES,positive,,
76,10,MULTIMEDIA_DEVICES#GENERAL,negative,,
76,10,,,76:0,I have loved this since i took it out of the box.
76,10,,,76:1,The battery is really long.
76,10,,,76:2,"the features are great, the only thing it needs is better speakers."
