/Reviews,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
54,4,,,54:3,,I sent it to them to fix in perfect condition but for what was wrong with it.
54,4,,,54:4,,They sent it back with a huge crack in it and it still didn't work.
54,4,,,54:5,,And that was the fourth time ive sent it to them to get fixed.
54,4,,,54:6,,Its been a year and am still waiting to see what there going to do about my laptop.
54,4,,,54:7,,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...
252,5,LAPTOP#GENERAL,positive,,,
252,5,LAPTOP#PRICE,negative,,,
252,5,LAPTOP#USABILITY,neutral,,,
252,5,,,252:0,,"So far, a great product."
252,5,,,252:1,,"High price tag, however."
252,5,,,252:2,,Still trying to learn how to use it.
375,6,LAPTOP#PRICE,positive,,,
375,6,LAPTOP#DESIGN_FEATURES,conflict,,,
375,6,LAPTOP#OPERATION_PERFORMANCE,positive,,,
375,6,LAPTOP#GENERAL,positive,,,
375,6,,,375:0,,This laptop is a great price and has a sleek look.
375,6,,,375:1,,Runs smooth and quick.
375,6,,,375:2,,"I wish it had a webcam though, then it would be perfect!"
139,7,LAPTOP#GENERAL,negative,,,
139,7,LAPTOP#CONNECTIVITY,negative,,,
139,7,DISPLAY#OPERATION_PERFORMANCE,negative,,,
139,7,LAPTOP#OPERATION_PERFORMANCE,negative,,,
139,7,COMPANY#GENERAL,negative,,,
139,7,,,139:0,,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked."
139,7,,,139:1,,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.
139,7,,,139:2,,Eventually the screen went blank and the computer would not turn on.
139,7,,,139:3,,HP said it was out of warranty.
139,7,,,139:4,,Guess I'll stay away from HP.
B00KMRGF28_285_AULBCYLXY34W9,8,LAPTOP#PRICE,positive,,,
B00KMRGF28_285_AULBCYLXY34W9,8,LAPTOP#GENERAL,positive,,,
B00KMRGF28_285_AULBCYLXY34W9,8,LAPTOP#USABILITY,positive,,,
B00KMRGF28_285_AULBCYLXY34W9,8,LAPTOP#DESIGN_FEATURES,conflict,,,
B00KMRGF28_285_AULBCYLXY34W9,8,LAPTOP#PORTABILITY,positive,,,
B00KMRGF28_285_AULBCYLXY34W9,8,,,B00KMRGF28_285_AULBCYLXY34W9:0,,Great price and computer!
B00KMRGF28_285_AULBCYLXY34W9,8,,,B00KMRGF28_285_AULBCYLXY34W9:1,,"I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc."
B00KMRGF28_285_AULBCYLXY34W9,8,,,B00KMRGF28_285_AULBCYLXY34W9:2,,They loved it.
B00KMRGF28_285_AULBCYLXY34W9,8,,,B00KMRGF28_285_AULBCYLXY34W9:3,,"It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling)."
B00KMRGF28_285_AULBCYLXY34W9,8,,,B00KMRGF28_285_AULBCYLXY34W9:4,,"But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!"
76,9,LAPTOP#GENERAL,positive,,,
76,9,BATTERY#OPERATION_PERFORMANCE,positive,,,
76,9,LAPTOP#DESIGN_FEATURES,positive,,,
76,9,MULTIMEDIA_DEVICES#GENERAL,negative,,,
76,9,,,76:0,,I have loved this since i took it out of the box.
76,9,,,76:1,,The battery is really long.
76,9,,,76:2,,"the features are great, the only thing it needs is better speakers."
77,10,LAPTOP#GENERAL,positive,,,
77,10,LAPTOP#USABILITY,positive,,,
77,10,,,77:0,,"Waited on getting this computer, but it has been a great change."
77,10,,,77:1,,Ease of use is just one of the benefits I love about my Mac.
243,11,LAPTOP#DESIGN_FEATURES,positive,,,
243,11,LAPTOP#OPERATION_PERFORMANCE,positive,,,
243,11,LAPTOP#PORTABILITY,positive,,,
243,11,LAPTOP#GENERAL,positive,,,
243,11,,,243:0,,It had most of the features and all of the power that I wanted to replace my desktop machine.
243,11,,,243:1,,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.
243,11,,,243:2,,I'm very happy with this machine!
292,12,LAPTOP#GENERAL,positive,,,
292,12,LAPTOP#USABILITY,positive,,,
292,12,SUPPORT#QUALITY,positive,,,
292,12,BATTERY#OPERATION_PERFORMANCE,positive,,,
292,12,LAPTOP#OPERATION_PERFORMANCE,positive,,,
292,12,LAPTOP#QUALITY,neutral,,,
292,12,,,292:0,,This MacBook is an outstanding product with great value.
292,12,,,292:1,,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
292,12,,,292:2,,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed."
292,12,,,292:3,,It does run a little warm but that is a negligible concern.
159,13,DISPLAY#QUALITY,positive,,,
159,13,MULTIMEDIA_DEVICES#QUALITY,positive,,,
159,13,LAPTOP#GENERAL,positive,,,
159,13,,,159:0,,"The image is great, and the soud is excelent."
159,13,,,159:1,,i love ths notebook.
28,14,LAPTOP#DESIGN_FEATURES,positive,,,
28,14,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,,,
28,14,MULTIMEDIA_DEVICES#USABILITY,negative,,,
28,14,KEYBOARD#DESIGN_FEATURES,positive,,,
28,14,KEYBOARD#USABILITY,positive,,,
28,14,LAPTOP#GENERAL,positive,,,
28,14,,,28:0,,Small and light weight.
28,14,,,28:1,,Speakers too small to be of any real use.
28,14,,,28:2,,Keyboard good sized and wasy to use.
28,14,,,28:3,,I like it!
167,15,LAPTOP#GENERAL,positive,,,
167,15,LAPTOP#DESIGN_FEATURES,positive,,,
167,15,LAPTOP#QUALITY,positive,,,
167,15,,,167:0,,This is a great machine!
167,15,,,167:1,,"The design is awesome, quality is unprecedented."
111,16,HARD_DISC#QUALITY,negative,,,
111,16,SUPPORT#QUALITY,negative,,,
111,16,WARRANTY#GENERAL,negative,,,
111,16,LAPTOP#QUALITY,negative,,,
111,16,LAPTOP#GENERAL,negative,,,
111,16,,,111:0,,This just keeps having it's hard drive replaced!
111,16,,,111:1,,Acer won't replace the laptop.
111,16,,,111:2,,the manufacturer's warranty only covers replacement/repair of parts.
111,16,,,111:3,,This thing is a lemon.
57,17,MOUSE#DESIGN_FEATURES,positive,,,
57,17,LAPTOP#USABILITY,positive,,,
57,17,DISPLAY#GENERAL,positive,,,
57,17,LAPTOP#GENERAL,positive,,,
57,17,,,57:0,,I love the glass touchpad.
57,17,,,57:1,,Easy learning curve.
57,17,,,57:2,,Also the display is exceptional!
299,18,LAPTOP#QUALITY,positive,,,
299,18,LAPTOP#PORTABILITY,positive,,,
299,18,LAPTOP#PRICE,positive,,,
299,18,LAPTOP#DESIGN_FEATURES,positive,,,
299,18,LAPTOP#GENERAL,positive,,,
299,18,,,299:0,,Very good quality and well made.
299,18,,,299:1,,Great pick for portability and affordability.
299,18,,,299:2,,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
242,19,LAPTOP#MISCELLANEOUS,positive,,,
242,19,LAPTOP#OPERATION_PERFORMANCE,positive,,,
242,19,SOFTWARE#GENERAL,positive,,,
242,19,LAPTOP#GENERAL,positive,,,
242,19,,,242:0,,This computer is the ideal college companion.
242,19,,,242:1,,It's software and speed enable it to do amazing things.
B00KMRGF28_316_A3L8EIJHMTXINF,20,LAPTOP#QUALITY,negative,,,
B00KMRGF28_316_A3L8EIJHMTXINF,20,OS#GENERAL,negative,,,
B00KMRGF28_316_A3L8EIJHMTXINF,20,LAPTOP#GENERAL,negative,,,
B00KMRGF28_316_A3L8EIJHMTXINF,20,,,B00KMRGF28_316_A3L8EIJHMTXINF:0,,It was too cheaply constructed.
B00KMRGF28_316_A3L8EIJHMTXINF,20,,,B00KMRGF28_316_A3L8EIJHMTXINF:1,,"It also gave me an introduction to Windows 8, which I hope will be discontinued it the future."
325,21,LAPTOP#PRICE,positive,,,
325,21,LAPTOP#MISCELLANEOUS,positive,,,
325,21,LAPTOP#PORTABILITY,negative,,,
325,21,LAPTOP#DESIGN_FEATURES,negative,,,
325,21,MULTIMEDIA_DEVICES#QUALITY,negative,,,
325,21,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,,,
325,21,LAPTOP#GENERAL,neutral,,,
325,21,,,325:0,,"If you need an affordable, entry-level laptop, this will fit the bill."
325,21,,,325:1,,"I dislike the weight and size, cubersome."
325,21,,,325:2,,I dislike the quality and the placement of the speakers.
325,21,,,325:3,,"Overall, it's ok."
276,22,LAPTOP#GENERAL,positive,,,
276,22,LAPTOP#USABILITY,positive,,,
276,22,LAPTOP#MISCELLANEOUS,positive,,,
276,22,,,276:0,,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school."
276,22,,,276:1,,so we got a good deal on hsn for an ascer notebook and we bought it for him.
276,22,,,276:2,,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.
276,22,,,276:3,,now he mows yards so he can earn the money for the wireless internet.
276,22,,,276:4,,I would recomend this acer to parents and grandparents it can really help them in school.
10,23,LAPTOP#GENERAL,positive,,,
10,23,LAPTOP#OPERATION_PERFORMANCE,positive,,,
10,23,LAPTOP#PRICE,positive,,,
10,23,,,10:0,,the laptop was really good and it goes really fast just the way i thought it would of run.
10,23,,,10:1,,i would really recommend to any person out there to get this laptop cause its really worth it.
10,23,,,10:2,,and its really cheap and you wont regret buying it.
178,24,LAPTOP#GENERAL,positive,,,
178,24,LAPTOP#QUALITY,positive,,,
178,24,,,178:0,,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me."
178,24,,,178:1,,He gave me this PC about 3 years ago and up to this point im still sitting here using it.
178,24,,,178:2,,Its still going.
178,24,,,178:3,,It is in the best condition and has a really high quality.
178,24,,,178:4,,This is something i would deffinately reccomend to someone.
178,24,,,178:5,,You will not regret buying such a great thing like this!
178,24,,,178:6,,It can't get any better.
19,25,LAPTOP#GENERAL,negative,,,
19,25,LAPTOP#QUALITY,negative,,,
19,25,GRAPHICS#QUALITY,positive,,,
19,25,,,19:0,,it is the worst computer dell ever made.
19,25,,,19:1,,it is hard to fix and makes it a hassle to own one.
19,25,,,19:2,,breaks easily.
19,25,,,19:3,,only good thing is the graphics quality.
95,26,LAPTOP#QUALITY,negative,,,
95,26,LAPTOP#OPERATION_PERFORMANCE,negative,,,
95,26,LAPTOP#GENERAL,negative,,,
95,26,,,95:0,,It rarely works and when it does it's incredibly slow.
95,26,,,95:1,,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!
95,26,,,95:2,,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!"
135,27,LAPTOP#OPERATION_PERFORMANCE,negative,,,
135,27,LAPTOP#GENERAL,negative,,,
135,27,,,135:0,,The So called laptop Runs to Slow and I hate it!
135,27,,,135:1,,Do not  buy it!
135,27,,,135:2,,It is the worst laptop ever
364,28,LAPTOP#GENERAL,positive,,,
364,28,LAPTOP#PRICE,positive,,,
364,28,LAPTOP#QUALITY,positive,,,
364,28,SHIPPING#QUALITY,positive,,,
364,28,,,364:0,,The Toshiba laptop was a great purchase.
364,28,,,364:1,,"The price was very good, and the product is top quality."
364,28,,,364:2,,"The delivery was fast, and I would not hesitate to purchase this laptop again."
B00AH4A950_14_A3ODX2HCMPBUCA,29,DISPLAY#QUALITY,negative,,,
B00AH4A950_14_A3ODX2HCMPBUCA,29,LAPTOP#QUALITY,negative,,,
B00AH4A950_14_A3ODX2HCMPBUCA,29,LAPTOP#GENERAL,negative,,,
B00AH4A950_14_A3ODX2HCMPBUCA,29,COMPANY#GENERAL,negative,,,
B00AH4A950_14_A3ODX2HCMPBUCA,29,,,B00AH4A950_14_A3ODX2HCMPBUCA:0,,Screen broke 1 month outside warranty.
B00AH4A950_14_A3ODX2HCMPBUCA,29,,,B00AH4A950_14_A3ODX2HCMPBUCA:1,,Overall build quality is cheap.
B00AH4A950_14_A3ODX2HCMPBUCA,29,,,B00AH4A950_14_A3ODX2HCMPBUCA:2,,Avoid Acer.
B0096VDM8G_72_AOGYUDXOO03Q4,30,LAPTOP#USABILITY,positive,,,
B0096VDM8G_72_AOGYUDXOO03Q4,30,DISPLAY#GENERAL,positive,,,
B0096VDM8G_72_AOGYUDXOO03Q4,30,LAPTOP#OPERATION_PERFORMANCE,positive,,,
B0096VDM8G_72_AOGYUDXOO03Q4,30,LAPTOP#DESIGN_FEATURES,negative,,,
B0096VDM8G_72_AOGYUDXOO03Q4,30,LAPTOP#GENERAL,positive,,,
B0096VDM8G_72_AOGYUDXOO03Q4,30,,,B0096VDM8G_72_AOGYUDXOO03Q4:0,,Supper east to use.
B0096VDM8G_72_AOGYUDXOO03Q4,30,,,B0096VDM8G_72_AOGYUDXOO03Q4:1,,Retina display is beautiful.
B0096VDM8G_72_AOGYUDXOO03Q4,30,,,B0096VDM8G_72_AOGYUDXOO03Q4:2,,Also very quick laptop!
B0096VDM8G_72_AOGYUDXOO03Q4,30,,,B0096VDM8G_72_AOGYUDXOO03Q4:3,,Con: Hate that it has no disk drive.
B00KMRGF28_216_A2VZ7R8QTA0QXE,31,LAPTOP#OPERATION_PERFORMANCE,negative,,,
B00KMRGF28_216_A2VZ7R8QTA0QXE,31,LAPTOP#QUALITY,negative,,,
B00KMRGF28_216_A2VZ7R8QTA0QXE,31,LAPTOP#GENERAL,negative,,,
B00KMRGF28_216_A2VZ7R8QTA0QXE,31,,,B00KMRGF28_216_A2VZ7R8QTA0QXE:0,,Extremely slow.
B00KMRGF28_216_A2VZ7R8QTA0QXE,31,,,B00KMRGF28_216_A2VZ7R8QTA0QXE:1,,A masterpiece of crap.
385,32,LAPTOP#USABILITY,positive,,,
385,32,LAPTOP#CONNECTIVITY,positive,,,
385,32,LAPTOP#GENERAL,positive,,,
385,32,LAPTOP#PRICE,positive,,,
385,32,,,385:0,,I purchased two laptops (for my husband and 16 year old daughter).
385,32,,,385:1,,"My husband uses it mostly for games, email and music."
385,32,,,385:2,,"My daughter uses it for games, email, facebook, pictures and music."
385,32,,,385:3,,They were able to set-up with labtops themselves within a few minutes.
385,32,,,385:4,,It works fine with our wireless and they've had not problems.
385,32,,,385:5,,It's a great product for a great price!
381,33,LAPTOP#GENERAL,positive,,,
381,33,BATTERY#OPERATION_PERFORMANCE,negative,,,
381,33,LAPTOP#DESIGN_FEATURES,positive,,,
381,33,,,381:0,,Both my husband and I have this model Toshiba.
381,33,,,381:1,,I love everything about it.
381,33,,,381:2,,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.
381,33,,,381:3,,I would like at least a 4 hr. battery life.
381,33,,,381:4,,"Otherwise, all other features are a 1"
382,34,LAPTOP#GENERAL,positive,,,
382,34,LAPTOP#USABILITY,positive,,,
382,34,,,382:0,,The laptop was very easy to set up.
382,34,,,382:1,,I did not have to call the support line at all.
382,34,,,382:2,,Everything was so easy.
55,35,LAPTOP#QUALITY,positive,,,
55,35,LAPTOP#DESIGN_FEATURES,positive,,,
55,35,BATTERY#OPERATION_PERFORMANCE,positive,,,
55,35,DISPLAY#DESIGN_FEATURES,positive,,,
55,35,COMPANY#GENERAL,positive,,,
55,35,LAPTOP#GENERAL,positive,,,
55,35,,,55:0,,This is my 3rd Apple Laptop and first MacBook Pro.
55,35,,,55:1,,"I love its solid build, light wt and excellent battery life (for now)."
55,35,,,55:2,,Excellent LED monitor and well equipped.
55,35,,,55:3,,I love the Apple products.
131,36,COMPANY#GENERAL,negative,,,
131,36,LAPTOP#GENERAL,negative,,,
131,36,,,131:0,,Summary: Dont buy HP.
131,36,,,131:1,,"If you buy, pray you dont have major prolems."
47,37,LAPTOP#GENERAL,positive,,,
47,37,LAPTOP#DESIGN_FEATURES,positive,,,
47,37,LAPTOP#PORTABILITY,positive,,,
47,37,BATTERY#OPERATION_PERFORMANCE,positive,,,
47,37,OS#OPERATION_PERFORMANCE,positive,,,
47,37,,,47:0,,Awesome laptop and the perfect size to carry around in college.
47,37,,,47:1,,I couldn't believe how long the battery lasted on a single charge.
47,37,,,47:2,,I loaded windows 7 via Bootcamp and it works flawlessly!
47,37,,,47:3,,Simply amazing computer!!
277,38,LAPTOP#GENERAL,positive,,,
277,38,LAPTOP#PORTABILITY,positive,,,
277,38,DISPLAY#USABILITY,neutral,,,
277,38,DISPLAY#DESIGN_FEATURES,neutral,,,
277,38,,,277:0,,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop."
277,38,,,277:1,,The netbook is easier for me to take to bed and carry around with me.
277,38,,,277:2,,"The screen takes some getting use to, because it is smaller than the laptop."
277,38,,,277:3,,I have not have any problems.
330,39,DISPLAY#QUALITY,positive,,,
330,39,LAPTOP#GENERAL,positive,,,
330,39,,,330:0,,"This is the first laptop I've owned, althougth I used several at my previous job."
330,39,,,330:1,,"The screen graphics and clarity, and sharpness are great."
330,39,,,330:2,,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.
371,40,LAPTOP#GENERAL,positive,,,
371,40,DISPLAY#DESIGN_FEATURES,positive,,,
371,40,LAPTOP#PORTABILITY,positive,,,
371,40,LAPTOP#PRICE,positive,,,
371,40,LAPTOP#MISCELLANEOUS,positive,,,
371,40,,,371:0,,This laptop serves all my needs.
371,40,,,371:1,,Screen size is perfect for portable use in any environment.
371,40,,,371:2,,Price and purpose is awesome!
315,41,KEYBOARD#USABILITY,neutral,,,
315,41,LAPTOP#GENERAL,positive,,,
315,41,SHIPPING#QUALITY,positive,,,
315,41,,,315:0,,"the key bindings take a little getting used to, but have loved the Macbook Pro."
315,41,,,315:1,,Delivery was early too.
275,42,COMPANY#GENERAL,positive,,,
275,42,LAPTOP#GENERAL,positive,,,
275,42,LAPTOP#MISCELLANEOUS,positive,,,
275,42,,,275:0,,"I love HP,, it's the only computer/printer we will buy."
275,42,,,275:1,,Got this for a graduation gift for my daughter for her to use at college.
275,42,,,275:2,,This is perfect for her field.
B00KMRGF28_13_A29X881WVJ8402,43,LAPTOP#USABILITY,positive,,,
B00KMRGF28_13_A29X881WVJ8402,43,KEYBOARD#DESIGN_FEATURES,positive,,,
B00KMRGF28_13_A29X881WVJ8402,43,LAPTOP#GENERAL,positive,,,
B00KMRGF28_13_A29X881WVJ8402,43,,,B00KMRGF28_13_A29X881WVJ8402:0,,it was easy to set up.
B00KMRGF28_13_A29X881WVJ8402,43,,,B00KMRGF28_13_A29X881WVJ8402:1,,I like the number pad for work so that's nice
59,44,HARD_DISC#QUALITY,negative,,,
59,44,BATTERY#QUALITY,negative,,,
59,44,BATTERY#OPERATION_PERFORMANCE,negative,,,
59,44,POWER_SUPPLY#QUALITY,negative,,,
59,44,POWER_SUPPLY#OPERATION_PERFORMANCE,negative,,,
59,44,HARDWARE#QUALITY,negative,,,
59,44,LAPTOP#GENERAL,negative,,,
59,44,LAPTOP#QUALITY,negative,,,
59,44,,,59:0,,In the first moth of owning this computer its hardrive failed which had to be replaced.
59,44,,,59:1,,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
59,44,,,59:2,,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
59,44,,,59:3,,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.
237,45,LAPTOP#OPERATION_PERFORMANCE,positive,,,
237,45,BATTERY#OPERATION_PERFORMANCE,positive,,,
237,45,DISPLAY#QUALITY,positive,,,
237,45,LAPTOP#GENERAL,positive,,,
237,45,,,237:0,,It's fast and has excellent battery life.
237,45,,,237:1,,The screen shows great colors.
270,46,LAPTOP#OPERATION_PERFORMANCE,positive,,,
270,46,OS#MISCELLANEOUS,negative,,,
270,46,LAPTOP#GENERAL,positive,,,
270,46,,,270:0,,The Toshiba Net book operates very well.
270,46,,,270:1,,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.
240,47,LAPTOP#GENERAL,positive,,,
240,47,LAPTOP#USABILITY,positive,,,
240,47,GRAPHICS#GENERAL,positive,,,
240,47,KEYBOARD#DESIGN_FEATURES,negative,,,
240,47,LAPTOP#PRICE,neutral,,,
240,47,,,240:0,,"Great product, very easy to use and great graphics."
240,47,,,240:1,,"One drawback, I wish the keys were backlit."
240,47,,,240:2,,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars."
24,48,LAPTOP#GENERAL,negative,,,
24,48,LAPTOP#DESIGN_FEATURES,negative,,,
24,48,LAPTOP#PORTABILITY,negative,,,
24,48,BATTERY#QUALITY,negative,,,
24,48,BATTERY#OPERATION_PERFORMANCE,negative,,,
24,48,SUPPORT#QUALITY,negative,,,
24,48,LAPTOP#QUALITY,negative,,,
24,48,COMPANY#GENERAL,negative,,,
24,48,,,24:0,,Oh my goodness-I am not a happy camper.
24,48,,,24:1,,My HP is very heavy.
24,48,,,24:2,,Not easy to carry.
24,48,,,24:3,,The battery has never worked well.
24,48,,,24:4,,The battery gets so HOT it is scary.
24,48,,,24:5,,"Yet, HP won't do anything about the problem."
24,48,,,24:6,,I returned the computer to HP and they kept it for 3 months.
24,48,,,24:7,,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
24,48,,,24:8,,"So, you can imagine how unhappy I am with this item."
24,48,,,24:9,,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.
24,48,,,24:10,,I did contact HP and share how unhappy I am.
24,48,,,24:11,,"Well, they don't care a bunch."
24,48,,,24:12,,"But, at the same time they (the company) would not and could not do anything about my problem."
24,48,,,24:13,,I would  say if you want to buy one of these machines be careful.
24,48,,,24:14,,"And, if you are going to deal with HP be careful."
24,48,,,24:15,,"In my house, HP is a nasty word."
376,49,LAPTOP#GENERAL,positive,,,
376,49,LAPTOP#OPERATION_PERFORMANCE,positive,,,
376,49,LAPTOP#DESIGN_FEATURES,positive,,,
376,49,LAPTOP#MISCELLANEOUS,positive,,,
376,49,COMPANY#GENERAL,positive,,,
376,49,,,376:0,,I Love my new computer!
376,49,,,376:1,,Its fast and another thing I like is that it has three USB ports.
376,49,,,376:2,,I love to write and play with graphics and html programming and my new Toshiba works great on both!
376,49,,,376:3,,Thank you for your great product!
377,50,LAPTOP#USABILITY,positive,,,
377,50,LAPTOP#DESIGN_FEATURES,positive,,,
377,50,BATTERY#OPERATION_PERFORMANCE,negative,,,
377,50,LAPTOP#GENERAL,positive,,,
377,50,,,377:0,,Everything about this computer is easy to use.
377,50,,,377:1,,wonderful features.
377,50,,,377:2,,The only thing is that the battery won't last more than 1/2 an hour.
377,50,,,377:3,,It discharges too quickly.
377,50,,,377:4,,"Kind of annoying, but I still love the laptop."
290,51,LAPTOP#GENERAL,positive,,,
290,51,LAPTOP#MISCELLANEOUS,positive,,,
290,51,LAPTOP#OPERATION_PERFORMANCE,positive,,,
290,51,LAPTOP#QUALITY,positive,,,
290,51,,,290:0,,I bought my macbook a few months ago and it has been my baby ever since.
290,51,,,290:1,,I love it so much.
290,51,,,290:2,,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
290,51,,,290:3,,"The best thing is even while doing almost ten or twenty things at once, it never slows down."
290,51,,,290:4,,It's just as fast with one program open as it is with sixteen open.
290,51,,,290:5,,It works exactly like it did the day I took it out of the box.
290,51,,,290:6,,GREAT INVESTMENT!
88,52,LAPTOP#QUALITY,negative,,,
88,52,MOUSE#OPERATION_PERFORMANCE,negative,,,
88,52,LAPTOP#GENERAL,negative,,,
88,52,COMPANY#GENERAL,positive,,,
88,52,,,88:0,,"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding."
88,52,,,88:1,,"got another 1, and same issue."
88,52,,,88:2,,I am taking back today.
88,52,,,88:3,,Don't waste your money or time.
88,52,,,88:4,,"Very dissappointed becase I have had toshibas for years, and never a issue."
50,53,LAPTOP#QUALITY,negative,,,
50,53,DISPLAY#OPERATION_PERFORMANCE,negative,,,
50,53,SUPPORT#QUALITY,negative,,,
50,53,WARRANTY#PRICE,negative,,,
50,53,SHIPPING#PRICE,negative,,,
50,53,COMPANY#GENERAL,negative,,,
50,53,LAPTOP#GENERAL,negative,,,
50,53,,,50:0,,Needs constant repair.
50,53,,,50:1,,First the screen goes completely out.
50,53,,,50:2,,"Then HP sends it back to me with the hardware screwed up, not able to connect."
50,53,,,50:3,,"Now the screen is going darker, darker, darker."
50,53,,,50:4,,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.
50,53,,,50:5,,"Oh yeah, don't forget the expensive shipping to and from HP."
50,53,,,50:6,,I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.
359,54,LAPTOP#GENERAL,negative,,,
359,54,LAPTOP#QUALITY,negative,,,
359,54,SOFTWARE#GENERAL,negative,,,
359,54,LAPTOP#CONNECTIVITY,negative,,,
359,54,SUPPORT#QUALITY,negative,,,
359,54,MOUSE#QUALITY,negative,,,
359,54,,,359:0,,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!
359,54,,,359:1,,I have owned it only two months!
359,54,,,359:2,,I have had nothing but problems since the day I took it out of the box!
359,54,,,359:3,,My first problem was with the pre-loaded Norton Firewall/Security program.
359,54,,,359:4,,It would not let me connect to my Wifi system where I lived.
359,54,,,359:5,,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
359,54,,,359:6,,"Then just the other day, my left ""mouse"" button snapped!"
359,54,,,359:7,,"Being only 2 months old, I am not a happy camper!"
359,54,,,359:8,,Buyer Beware.
359,54,,,359:9,,"this one, in my opinion, might be a lemon!"
360,55,LAPTOP#PRICE,positive,,,
360,55,LAPTOP#OPERATION_PERFORMANCE,positive,,,
